Abbasi, Nimrah; Maternal Fetal Medicine, Obstetrics and Gynecology
Abdul Razak, Albiruni Ryan; Medical Oncology, Medical Oncology
Abdullah, Nadine; General Internal Medicine, Internal Medicine
Abells, Dara Naomi; Family Medicine
Abelsohn, Alan   Ralph; Family Medicine
Abrams, Howard  Barnet; Internal Medicine
Abrams, Jonathan C; Family Medicine
Adler, Arnon Shmuel; Cardiology
Agid, Ronit Farkash; Diagnostic Radiology
Ahmad, Jamil; Plastic Surgery
Ahmad Thiryayi, Sakinah; Anatomical Pathology
Akhtar, Sabrina   Nadine
Akoury, Hani Albert George; Obstetrics and Gynecology
Alarab, May Abdul Ghani Mouhi Al-Deen Sheikh; Obstetrics and Gynecology
Al-Arnawoot, Amna Salah Abdulqadir; Diagnostic Radiology
Alba, Ana Carolina; Cardiology
Albert, Lori   Joanna; Internal Medicine, Rheumatology
Algu, Kavita; Family Medicine
Alibhai, Shabbir Muhammad Husayn; Geriatric Medicine, Internal Medicine
Allard, Johane Pierette; Gastroenterology, Internal Medicine
Allen, Lisa   Mary; Obstetrics and Gynecology
Allen, Upton Dilworth; Infectious Diseases, Pediatrics
Alonso Gonzalez, Rafael; Cardiology
Alshafai, Laila Saud Abdulaziz; Diagnostic Radiology, Neuroradiology
Al-Sukhni, Eisar; General Surgery, General Surgical Oncology
Altman, David   Lorne; Family Medicine
Amato, Dominick Joseph; Hematology
Amin, Reshma; Pediatrics, Respirology
Amir, Eitan; Medical Oncology, Medical Oncology
Anastakis, Dimitrios John; Plastic Surgery
Andermann, Lisa Francesca Simone; Psychiatry
Anderson, Michael   Andrew Barrett; General Surgery
Andrade, Danielle   Molinari De; Neurology
Andrews, Saadet; Pediatrics
Annamalai, Ganesan; Diagnostic Radiology
Arndt, Talitha   Anna Tamara; Family Medicine
Arora, Nisha; Family Medicine
Arthur, Rebecca   Hendrikje; Obstetrics and Gynecology
Arvanitis, Jennifer Michelle; Family Medicine
Arzola Villalobos, Gracian Cristian; Anesthesiology
Ashmawy, Ramy   Osama Mohamed Abd El Moniem Hassan; Diagnostic Radiology, Diagnostic Radiology
Atri, Mostafa; Diagnostic Radiology
Au, Wing-Fai   Frederick; Diagnostic Radiology
Axler, Jeffrey   Lee; Gastroenterology, Internal Medicine
Backstein, David   Jon; Orthopedic Surgery
Baertschiger, Reto Marc; General Surgery, Pediatric Surgery
Bagli, Darius   Jehan; Urology
Baimel, Evelyne; Family Medicine
Bajaj, Girish; Gastroenterology, Internal Medicine
Baker, Michael   Allen; Hematology, Internal Medicine
Bakshi, Nupura   Krishnadev; Ophthalmology
Balaban, Kayli   Shira; Psychiatry
Balki, Mrinalini; Anesthesiology
Ballon, Bruce   Conrad; Psychiatry
Balmain, Sean; Cardiology
Balter, Meyer Stanley; Internal Medicine, Respirology
Baltzer, Heather Lucretia; Plastic Surgery
Bandsma, Robertus Hermanus Johannes; Pediatrics
Banner, Harrison Matthew; Obstetrics and Gynecology
Barkin, Marshall   Paul; Obstetrics and Gynecology
Barnett Tapia, Carolina; Neurology
Barolet, Alan Wilfrid; Cardiology, Internal Medicine
Barozzino, Antonio; Pediatrics
Barrett, Kali Alyssa; Critical Care Medicine, Internal Medicine
Bartlett, Eric Steven; Diagnostic Radiology
Barua, Moumita; Internal Medicine, Nephrology
Baum, Solly; Family Medicine
Bearss, Erin   Louise; Family Medicine, Family Medicine (Emergency Medicine)
Bearss, Luke Timothy; Family Medicine, Family Medicine (Emergency Medicine)
Bedard, Philippe   Lucien; Internal Medicine, Medical Oncology
Beecroft, John   Robert Douglas; Diagnostic Radiology
Bell, Charles Michael; Internal Medicine
Belluzzo, Neal; Family Medicine
Bensoussan, Yael Emily; Otolaryngology - Head and Neck Surgery
Beresford, Meaghen Joanne; Diagnostic Radiology
Berger, Arielle Sarah; Geriatric Medicine, Internal Medicine
Berman, Hal   David; Internal Medicine
Bernard, Carrie   Deborah; Family Medicine
Bernardini, Marcus   Quirino; Obstetrics and Gynecology
Bernstein, Earl   Paul; Obstetrics and Gynecology
Bernstein, Robert   Michael; Family Medicine
Berntson, Andrea   Margaret; Psychiatry
Bhat, Mamatha Pallavi; Gastroenterology, Internal Medicine
Bhatia, Anuj; Anesthesiology, Pain Medicine
Biringer, Anne   Barbro; Family Medicine
Birman, Harry; Internal Medicine, Respirology
Bischof, Danielle Anna; General Surgery, General Surgical Oncology
Bismilla, Zia; Pediatrics
Biswas, Tuhina; Family Medicine
Bitnun, Sean; Infectious Diseases, Pediatrics
Blaser, Susan Irene; Diagnostic Radiology
Bleakney, Robert Reginald; Diagnostic Radiology
Blinick, Cheryl Nancy; Family Medicine
Bloom, Jeff   Alan; Family Medicine
Boggild, Andrea Kristine; Infectious Diseases, Medical Microbiology
Boggild, Miranda Kirsten; Endocrinology and Metabolism, Internal Medicine
Bollegala, Natasha  Pavithri; Gastroenterology, Internal Medicine
Bonta, Mark John; Internal Medicine
Bookman, Arthur   Allan Melvin; Internal Medicine, Rheumatology
Borgundvaag, Bjug; Family Medicine, Family Medicine (Emergency Medicine)
Born, Abraham; Internal Medicine, Respirology
Bottenheim, Olivia; Family Medicine
Bouchard-Fortier, Genevieve Maude Louise; Gynecologic Oncology, Obstetrics and Gynecology
Bouffet, Eric None; Pediatrics
Boulos, Emily Bridget; Diagnostic Radiology
Bradbury, Penelope Ann; Medical Oncology
Bradley, Thomas Douglas; Internal Medicine, Respirology
Braga-Mele, Rosa   Maria; Ophthalmology
Braidek, Jessica Lynne; Psychiatry
Brandao, Leonardo Rodrigues; Pediatrics
Branson, Helen Maree; Diagnostic Radiology
Brar, Mantaj Singh; Colorectal Surgery, General Surgery
Brar, Savtaj Singh; General Surgery, General Surgical Oncology
Brent, Michael   Henry; Ophthalmology
Bressler, Hartley Brian
Brezden-Masley, Christine   Bohdanna; Internal Medicine, Medical Oncology
Brienza, Vincent Joseph Michael; Family Medicine, Family Medicine (Emergency Medicine)
Bril, Vera; Neurology
Brode, Sarah Kathleen; Internal Medicine, Respirology
Brown, Vivien   Perelman; Family Medicine
Buchman, Ellen   Joy; Family Medicine
Buchman, Stephen   Howard; Family Medicine
Bui, Esther; Neurology
Bukhanov, Karina; Diagnostic Radiology
Bunce, Paul   Evan; Infectious Diseases, Internal Medicine
Burke, Robert   Clyve; Otolaryngology - Head and Neck Surgery
Burkes, Ronald Louis; Internal Medicine
Burra, Tara Allison Raja; Psychiatry
Burul, Claude Joseph; General Surgery
Butler, Marcus Otho; Medical Oncology
Bykerk, Vivian   Patricia; Internal Medicine, Rheumatology
Cadesky, Kenneth   Ira; Obstetrics and Gynecology
Campbell, Douglas   Mark; Pediatrics
Cantor, Arielle; Obstetrics and Gynecology
Cao, Ying Kathy; Ophthalmology
Cardella, Carl Joseph; Internal Medicine
Cardew, Savannah; Internal Medicine
Carette, Simon; Internal Medicine, Rheumatology
Carlen, Peter Louis; Neurology
Carr, Jonathan   Daniel; Family Medicine
Carroll, June   Christine; Family Medicine
Cavalcanti, Rodrigo   Brandao; Internal Medicine
Cellarius, Victor; Family Medicine
Cescon, David   Ward; Internal Medicine, Medical Oncology
Chan, Angela Joyce; Family Medicine
Chan, Charles Kai Nam; Internal Medicine, Respirology
Chan, Crystal; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Chan, Wilson Ventura; Obstetrics and Gynecology
Chan, Yvonne; Otolaryngology - Head and Neck Surgery
Chandler, Gregory Mitchell; Psychiatry
Chandrakumar, Shivani Felicia; Family Medicine
Chandran, Vinod; Rheumatology
Chang, Po-Yen; Family Medicine
Chapman, Kenneth Ross; Internal Medicine, Respirology
Chapnik, Jerry   Sydney; Otolaryngology - Head and Neck Surgery
Chaturvedi, Rajiv Ranjan; Pediatric Cardiology
Chau, Vicky; Geriatric Medicine, Internal Medicine
Chauhan, Nitin; Otolaryngology - Head and Neck Surgery
Chauhan, Vijay Singh; Cardiology, Internal Medicine
Chaukos, Deanna Constance; Psychiatry
Chawla, Punita Tanya; Diagnostic Radiology
Chen, Betty   Hsun-Ju; Family Medicine
Chen, Charissa Chieh-Hwei; Family Medicine
Chen, Robert   E Wei; Neurology
Chen, Xueyu; Internal Medicine, Medical Oncology
Chepeha, Douglas Brian; Otolaryngology - Head and Neck Surgery
Cherney, David   Zev Isaac; Internal Medicine, Nephrology
Chernoff, Ian William; Family Medicine, Family Medicine (Emergency Medicine)
Cheung, Angela   Man-Wei; Internal Medicine
Cheung, Caroline Marie
Chien, Vincent; Internal Medicine
Chiu, Priscilla   Pui Lam; General Surgery, Pediatric Surgery
Chong, Karen Lynn Elizabeth; Pediatrics
Chow, Chung-Wai; Internal Medicine, Respirology
Chow, Jane; Family Medicine
Chow, King   Yin; Ophthalmology
Chu, Li; Geriatric Psychiatry, Psychiatry
Chudnow, Gloria   Maureen
Chung, Shari  Ashika; Family Medicine
Chung, TaeBong; Diagnostic Radiology
Cil, Tulin Deniz; General Surgery
Cino, Maria; Gastroenterology, Internal Medicine
Clarke, Hance   Alex; Anesthesiology
Clarridge, Nicholas Edward Christopher; Family Medicine
Coburn, Bryan Alexander; Infectious Diseases, Internal Medicine
Cohen, Zane; General Surgery
Cohodarevic, Tea; Physical Medicine and Rehabilitation
Colangelo, Patrizia   Connie; Pediatrics
Cole, Edward   Herman; Internal Medicine, Nephrology
Colman, Jack   Marc; Cardiology, Internal Medicine
Colman, Rebecca   Eve; Internal Medicine, Respirology
Conn, David Keith; Psychiatry
Conner, James Ryan; Anatomical Pathology
Copeland, Alexandra Elise; Family Medicine
Copeland, Roarke; Family Medicine
Cord, Stephen Mark; Family Medicine, Family Medicine (Emergency Medicine)
Costantini, Daniela Frances; Former Name: Villani, Daniela Frances
Cot, Bianca; Endocrinology and Metabolism, Internal Medicine
Covelli, Andrea   Marie; General Surgery, General Surgical Oncology
Covens, Allan   Lawrence; Obstetrics and Gynecology
Croitoru, Kenneth; Gastroenterology, Internal Medicine
Cruickshank, Barbara   Elizabeth; Obstetrics and Gynecology
Cserti-Gazdewich, Christine Margaret; Hematology, Internal Medicine
Cybulska, Paulina; Gynecologic Oncology, Obstetrics and Gynecology
Cypel, Marcelo; General Surgery, Thoracic Surgery
Czarnecka-Kujawa, Katarzyna; Internal Medicine, Respirology
Czikk, Marie Julianna; Obstetrics and Gynecology
Dalfen, Ariel   Katherine; Psychiatry
Dalgorf, Dustin   Mark; Otolaryngology - Head and Neck Surgery
Daneman, Alan; Diagnostic Radiology
Daniel, Lorretta Bernice; Cardiology, Internal Medicine
Darling, Gail   Elizabeth; General Surgery, Thoracic Surgery
Dash, Satya; Endocrinology and Metabolism, Internal Medicine
Davids, Taryn; Otolaryngology - Head and Neck Surgery
Davis, Michael Garson; Dermatology
Day, Anna; Internal Medicine, Respirology
D'Cunha, Nolda Meera; Family Medicine
De Almeida, John   Rukshan; Otolaryngology - Head and Neck Surgery
De Buck Van Overstraeten, Anthony Jean Pierre Ghislain C M; General Surgery
de Perrot, Marc   Eugene Antoine
DeAngelis, Dan   Douglas; Ophthalmology
DeCaria, Joseph Eugene; Family Medicine
Del Sorbo, Lorenzo; Respirology
Delgado, Diego Hernan; Cardiology
Deliakis, John; Family Medicine
Dell, Sharon Doris Mielke; Pediatrics, Respirology
Demicco, Elizabeth Grace; Anatomical Pathology
Deroche, Peter Lavinis; Psychiatry
Detsky, Allan Steve; Internal Medicine
Detsky, Michael Eric; Critical Care Medicine, Internal Medicine
Devine, Luke Adam; Internal Medicine
Devito, Isabella; Anesthesiology
Dhamko, Helena; Hematology, Internal Medicine
Dhani, Neesha Cindy; Internal Medicine, Medical Oncology
Diambomba, Yenge; Pediatrics
Dipchand, Anne   Indira; Cardiology, Pediatrics
Donat, Diane June; Endocrinology and Metabolism, Internal Medicine
Donnelly, Mary   Sandra; Internal Medicine, Nephrology
Dorrepaal, Stephen John; Ophthalmology
Dowling, James Joseph; Neurology
Downing, Mark   Andrew; Infectious Diseases, Internal Medicine
Dror, Yigal; Pediatrics
Drucker, Daniel   Joshua; Internal Medicine
Drutz, Harold Paul; Obstetrics and Gynecology
D'Souza, Rohan   Dominic; Obstetrics and Gynecology
Dua, Hemi; Diagnostic Radiology
Duero Posada, Juan Guillermo; Cardiology, Internal Medicine
Dunbar-Yaffe, Richard James; General Internal Medicine, Internal Medicine
Dushenski, David   Gary; Family Medicine, Family Medicine (Emergency Medicine)
Dwyer, Tim; Orthopedic Surgery
Dzavik, Vladimir; Cardiology, Internal Medicine
Easson, Alexandra   Maria; General Surgery
Edwards, Darl Louis; Obstetrics and Gynecology
Edwards, Michelle Diane; Internal Medicine
El Masri, William   Samuel Aziz; Otolaryngology - Head and Neck Surgery
Elimova, Elena; Internal Medicine, Medical Oncology
Elser, Christine; Medical Oncology
Enepekides, Danny Jordan; Otolaryngology - Head and Neck Surgery
Engle, Fredric   Melvin; Obstetrics and Gynecology
Epelman, Slava; Cardiology, Internal Medicine
Escallon, Jaime Mainwaring; General Surgery
Ezzat, Shereen   Zarif; Endocrinology and Metabolism, Internal Medicine
Faghfoury, Hannaneh; Medical Genetics and Genomics
Fan, Eddy   Pey Ti; Critical Care Medicine, Internal Medicine
Farb, Richard   Ian; Diagnostic Radiology
Farkouh, Michael Edward; Internal Medicine
Farmer, Elise Marie Annie Drouin; Obstetrics and Gynecology
Farrugia, Mary   Michele; Obstetrics and Gynecology
Fasano, Alfonso; Neurology
Fedorko, Ludwik Mikolaj; Anesthesiology
Fefergrad, Mark David; Psychiatry
Feferman, Irving
Fehlings, Michael George; Neurosurgery
Feig, Denice   Suzan; Endocrinology and Metabolism, Internal Medicine
Feld, Jordan   Jay; Gastroenterology, Internal Medicine
Feldman, Sidney   Ira David; Family Medicine
Ferdman, Doron; Family Medicine
Ferguson, Niall   Douglas; Critical Care Medicine, Internal Medicine, Respirology
Ferguson, Peter Charles; Orthopedic Surgery
