Aguilar, Hector Noel; Diagnostic Radiology
Anand, Nitasha; Gastroenterology, Internal Medicine
Andani, Rafiq; Family Medicine
Andersen, Joel   Espen Aegidius; Family Medicine
Archer, Laurin Lawton; Family Medicine, Family Medicine (Emergency Medicine)
Babaran, Shirley   De La Cruz; Internal Medicine
Badenhorst, Johannes Gerhardus; Family Medicine
Baerlocher, Mark Otto; Diagnostic Radiology
Bayat, Muhammad   Ridwan Hoosen; Diagnostic Radiology
Bayfield, David   John; Family Medicine, Family Medicine (Emergency Medicine)
Beeston, Jeffery Philip; Family Medicine
Bennett, John   Douglas; Diagnostic Radiology
Bergstrome, Brant Eric; Psychiatry
Bird, Jeffery Robert; Diagnostic Radiology
Blake, McKenzie Mary; Family Medicine
Blom, Christine   Rita; Family Medicine
Blundell, Sean Ingham; Family Medicine
Borchuk, Michael Charles; Family Medicine
Bos, Derek Mathew; Urology
Bremer, Kimberly Nancy Margaret; Obstetrics and Gynecology
Bushell, Barry Robin; Family Medicine
Button, Caitlin; Family Medicine
Cameron, Peter   Philip George
Cancelliere, Laura Antoinette; Obstetrics and Gynecology
Caron, Julie Nicole; Family Medicine
Casault, David   Joseph Renald; Family Medicine
Cervantes Hernandez, Alejandra; Family Medicine
Chabikuli, Sibomana osso; Family Medicine
Cheng, Yue   Yue Olivia; Orthopedic Surgery
Chou, Sheila; Diagnostic Radiology
Churchill, Paige  Elizabeth; General Surgery
Collings, Darryl Edward; Orthopedic Surgery
Coutts, Richard   Alexander; Family Medicine, FCFP - Family Medicine
Darwish, Hanni Adel; Family Medicine
Davenport, Danielle Alexandra; Family Medicine
De Boeck, Thomas   John; Family Medicine
De Villiers, Jean Pierre; Diagnostic Radiology
Delaney, James   Paul; Orthopedic Surgery
Dolezel, Josef; Internal Medicine
Donald, Douglas   Nugent
Donovan, Andrea; Diagnostic Radiology
Ellison, Erin; Anatomical Pathology
Fernandes, Alisha Rebecca; General Surgery
Forghani, Reza; Diagnostic Radiology
Fortinsky, Kyle Joshua; Gastroenterology, Internal Medicine
Furtado, Richard   Joseph
Gaffney, Brian James; Family Medicine
gaffney, greg  Mark
Gannon, Anne Brigid; Family Medicine
Gardiner, Donald   Irwin; Family Medicine
Giorshev, Chris; Family Medicine, Family Medicine (Emergency Medicine)
