Abbasian, Ali; Diagnostic Radiology
Agbenyega, Akuafo; Emergency Medicine
Aguilar, Hector Noel; Diagnostic Radiology
Ahmed, Hanan Mohammad Ali; Clinical Immunology and Allergy, Internal Medicine
Al Saied, Ghiath; Critical Care Medicine, General Surgery
Alarie, Andrea Felicia; Obstetrics and Gynecology
Al-Battran, Mazin   Hasan Mossa; Psychiatry
Ali, Syed Zafar; Diagnostic Radiology
Allie, Babak; Emergency Medicine
Andrus, Catherine   Lynn; Obstetrics and Gynecology
Anstett, Robert   John; Obstetrics and Gynecology
Antoniadis, Gregory   Antonios; Family Medicine
Aye, Tim Maung; Anesthesiology
Baath, Kulrajbir Singh; Gastroenterology, Internal Medicine
Babapulle, Mohan   Niranjan; Cardiology, Internal Medicine
Bahrgard Nikoo, Mohammad Javad; Critical Care Medicine, Internal Medicine
Baldauf, Christian   Gerd Gotthard; Diagnostic Radiology
Banerjee, Avik   Upadhyay; Otolaryngology - Head and Neck Surgery
Bardon, Alexander David; Family Medicine
Barrett, Keith Paul; Urology
Batra, Anupam; Internal Medicine, Medical Oncology
Batten, Adrian Paul; Anatomical Pathology, General Pathology
Bauman, Kent   Evan; Family Medicine
Bayley, Nicholas Geoffrey; Orthopedic Surgery
Bedrosian, Kathleen   Elizabeth
Bell, Brian   David; Family Medicine, Family Medicine (Emergency Medicine)
Benaroia, Mark; Internal Medicine, Nephrology
Benhabib, Larbi; Family Medicine, Family Medicine (Emergency Medicine)
Benjamin, Dinesh; Psychiatry
Benjamin, Sophiya; Geriatric Psychiatry, Psychiatry
Bharadwaj, Vinod   Kumar; Otolaryngology - Head and Neck Surgery
Billing, Sanjeev Singh; Psychiatry
Bindlish, Vinita; Family Medicine, Otolaryngology - Head and Neck Surgery
Bird, Jeffery Robert; Diagnostic Radiology
Bissonnette, Lyle   Vaughan; Gastroenterology, Internal Medicine
Bodkin, Robert   Norman
Borth, Christopher   Stephen; Urology
Borys, Thomas   John
Boswell, Valerie   Lynne
Brady, Scott Ronald John; Family Medicine, Family Medicine (Emergency Medicine)
Brault, David; Family Medicine
Brickell, Sandra   Elizabeth; Internal Medicine
Brockerville, Melissa Anne; Anesthesiology
Bruce, Rodney   Robert; Family Medicine
Bunker, Andrea Lynne; Forensic Psychiatry, Psychiatry
Burk, Keith   William
Burke, Andrew Michael; Internal Medicine, Nephrology
Burkett, Andrew   Michael; Internal Medicine, Respirology
Califaretti, Nadia   Federica Bruna; Internal Medicine, Medical Oncology
Cameron, Billie-Rose   Haynes; Otolaryngology - Head and Neck Surgery
Cameron, David   James
Cameron, Karen   Ann; Family Medicine
Cameron, Paul Allan; Critical Care Medicine, Internal Medicine
Campanaro, Judith   Margaret; Obstetrics and Gynecology
Campbell, Bridget Megan Mairi; Family Medicine
Campbell, John   Andrew
Cape, David Lee Dillon; Critical Care Medicine, Internal Medicine
Carriere, Philip  John; Family Medicine
Carvalho, Michael; Anatomical Pathology
Casey, Michael Joseph; Family Medicine
Castano Herrera, Elkin   Dario; Anesthesiology
Cescon, Amelio   Orlando; Family Medicine
Champagne, Caro   Line; Internal Medicine, Nuclear Medicine
Chan, Toby Yiu Bong; Ophthalmology
Chan, Winnie Wing Yee; General Pathology
Chanda, Mohammed Yaameen; General Surgery
Chang, Li-Hsin; Family Medicine, Family Medicine (Emergency Medicine)
Chang, Michelle   Teresa; Urology
Charleton, Daniel James; General Surgery
Chen, Zihao; Family Medicine
Cheng, Jason   Kin-Loon; Internal Medicine
Chernish, Robert   Nicholas; Internal Medicine, Respirology
Chesney, Amy Louise; Plastic Surgery
Cheung, Evelyn Ning Man; Geriatric Medicine, Internal Medicine
Chiasson, Paul Jeffrey; General Surgery, Thoracic Surgery
Chick, Genevieve Margaret; General Internal Medicine, Internal Medicine
Chou, Sheila; Diagnostic Radiology
Chouinard, Edmond   Emilien; Internal Medicine, Medical Oncology
Chu, Charles Shen; Family Medicine
Ciccotelli, William Anthony; Internal Medicine, Medical Microbiology
Clarke, Fiona May; Family Medicine
Coke, Robert Valere; Critical Care Medicine, Internal Medicine
Colpitts, Lorraine Rosemary; Family Medicine
Cook, Scott Gregory John; Pain Medicine, Physical Medicine and Rehabilitation
Cooper, Steven   Martin; Diagnostic Radiology, Family Medicine, Family Medicine (Emergency Medicine)
Cornell, Nicholas Craig; Family Medicine, Family Medicine (Emergency Medicine)
Corneman, Nils Alexander Oscar; Plastic Surgery
Coyne, Jade Brittany Rita; Internal Medicine, Respirology
Craig, John   Campbell
Cresswell, David   Andrew; Pediatrics
Crowe, Anne   Rosemary; Family Medicine
Cui, Fulan; Critical Care Medicine, Internal Medicine
Culp, Matthew Robert; Anesthesiology
Cumming, William Keith; Critical Care Medicine, Internal Medicine
Cummings, Brian Ernest; Anatomical Pathology
Curtis, Michael   William; Family Medicine, Family Medicine (Emergency Medicine)
Cushnie, Duncan Wells; Orthopedic Surgery
Cybulski, Peter   Andrew; Urology
D'Aloisio, Nicholas Dean; Family Medicine, Family Medicine (Emergency Medicine)
Danescu, Septimiu Cristian; Internal Medicine
Davey, Cecile Delaine; Pediatrics
