Abourbih, Daniel Asher; Emergency Medicine
Adjaoud, Yacine; Family Medicine
Ahken, Stephanie Michelle; Obstetrics and Gynecology
Akbari, Ayub; Internal Medicine, Nephrology
Ali, Rami; Family Medicine
Allard, Marc-Andre; General Internal Medicine, Internal Medicine, Urology
Arnold, Maria Ann Renee; Family Medicine, FCFP - Family Medicine
Arsenault, Lyne
Auger, Marie-Claude; Family Medicine
Azzi, Fadi Boutros; Family Medicine
Baker, Kevin   Robert; Obstetrics and Gynecology
Benali, Sebastien; Diagnostic Radiology, Pediatric Radiology
Bercier, Jean-Philippe; Family Medicine
Berdnikoff, Andrew
Berneche, Gregoire; Diagnostic Radiology
Bielinski, Raphael; Family Medicine, Family Medicine (Emergency Medicine)
Biyani, Mohan   Brijlal; Nephrology
Borduas, Jean-Francois; Family Medicine
Borduas, Joseph Pierre Andre; Family Medicine
Brassard, Stephane Joseph Leger; Family Medicine
Bromley, Sandra Tricia; Anesthesiology
Brown, Laura Alyse; Family Medicine
Brown, Pierre   Antoine; Internal Medicine, Nephrology
Brunet, Melissa   Pauline; Family Medicine
Buyukdere, Hakan; Hematological Pathology
Bwenge, Alexandra Shema; Family Medicine
Carriere, Mathieu Jean; Urology
Carsen, Sasha Paul; Orthopedic Surgery
Chabot, Gabrielle; Family Medicine, Family Medicine (Emergency Medicine)
Chagnon, David-Olivier; Diagnostic Radiology
Chaput, Alan   Joseph; Anesthesiology
Chauret, Denis; Internal Medicine
Chertkow, Howard   Mark; Neurology
Choi, Wayne Wing-Yiu; Emergency Medicine
Corbeil, Vincent; Diagnostic Radiology
Courchesne, Mathieu; Family Medicine
Cyr, Priscille Marie Georgette; General Surgery
D'Aquila, Michael Carmine; Internal Medicine
Desautels, Annie; Diagnostic Radiology
Desjardins, Frederic; Diagnostic Radiology
Desmarais, Eric; Diagnostic Radiology
Dhawotal, Diksha; Family Medicine
Dore, Marc Joseph Pierre; Anesthesiology
Dube, Annie; Family Medicine
Dumais, Valerie Simonne; General Surgery
Dvorkin, Gary Steven; Neurology
Fanous, Amanda Jennifer; Otolaryngology - Head and Neck Surgery
Ferguson, Pierre; Psychiatry
French, Lauren Michelle; Ophthalmology
Friesen, Byron Paul Peter; General Surgery
Gabra, Genevieve; Internal Medicine
Gagne, Austin Stephen; Family Medicine, Family Medicine (Emergency Medicine)
Garofalo, Milena; Obstetrics and Gynecology
Graveline, Justin   Joseph Luc; Neurology
Hould, Melanie; Family Medicine
Hubert, Louis-Philippe; Family Medicine
Hunter Poelman, Pascale; Family Medicine
Jakubow, Andre   Nicholas; Family Medicine
Jha, Muneesh; Family Medicine
Kenick, Scott; Gastroenterology, Internal Medicine
Kennedy, Christopher  Blair; Orthopedic Surgery
Khalil, Hisham Abraham Daniel; Obstetrics and Gynecology
King, George   Wilson; Family Medicine, Family Medicine (Emergency Medicine)
Kornacki, Joseph Benon; Orthopedic Surgery
Labajian, Varant; Otolaryngology - Head and Neck Surgery
Lacroix, Linda Anne Marie; Hematology, Internal Medicine
Lafleche, Jean Pierre; Orthopedic Surgery
Lafleche, Michel Pierre Bishop; Family Medicine, Family Medicine (Emergency Medicine)
Lajeunesse, Alain-Remi; Family Medicine
Lajeunesse, Benoit; Family Medicine
Lalonde, Karl-Andre   Roger; Orthopedic Surgery
Lalonde, Melanie; Family Medicine
Landa, Jean-Claude Lee; Family Medicine
Laniel, Christian; Family Medicine
Lapner, Peter; Orthopedic Surgery
Laviolette, Eric Leopold; Family Medicine, Family Medicine (Emergency Medicine)
Leblanc, Roxanne Carole; General Surgery
Leblanc, Yvan; General Surgery
Leclair, Patrick William; Family Medicine
Leduc, Jean-Gregoire; Internal Medicine, Respirology
Leduc-Gaudet, Sarah; Family Medicine
Legault, Mathieu Normand; Obstetrics and Gynecology
Lemieux, Anne-Marie; Former Name: Bernard, Anne-Marie
Lepage-Saucier, Marianne; Diagnostic Radiology
Liew, Allan   Syng-Luan; Orthopedic Surgery
Litvinov, Ivan   Vladimirovich; Dermatology
Lizotte, Marie-Eve Roxane; Internal Medicine
Lupien, Nicolas; Family Medicine
Mahoney, John Eric; Urology
