Abdulhusein, Abbas Gulamhusein
Abdul-Kareem, Ihssan Adeeb; Diagnostic Radiology
Addison, Curtis  Michael Allen; Internal Medicine, Respirology
Aguilar, Hector Noel; Diagnostic Radiology
Ahmad, Ardalanejaz; Urology
Ajueze, Peter Chukwumah; Child and Adolescent Psychiatry, Psychiatry
Al Mazrou'i, Ahmed Abdullah Khamis; Internal Medicine
Al Nasser, Sami   Mohammed A; Cardiology, Internal Medicine
Alewan, Salem Omran Ahmed; Family Medicine, Internal Medicine
Ali, Asma Mohammad Faseeh Mohammad Fadal; Internal Medicine, Medical Oncology
Allen, David   Macrae; Family Medicine, Family Medicine (Emergency Medicine)
Allison, Patrick   James; Orthopedic Surgery
Alqahtani, Abdulrahman Mubarak; Cardiology, Internal Medicine
Amaratunga, Kanchana Rajindri; Infectious Diseases, Internal Medicine
Amaratunga, Thelina   Dammika; Diagnostic Radiology
Anawati, Alexandre Georges; Family Medicine
Anderson, Robert John; Anesthesiology
Ansell, Dominique   Renee; Family Medicine, Family Medicine (Emergency Medicine)
Asai, Kengo; General Surgery
Atoui, Rony; Cardiac Surgery
Auger, Julie   Rachel; Family Medicine
Aul, Ritu   Bhavreet; Medical Genetics and Genomics
Aulakh, Lakyntiew Patsha Syiemlieh; Psychiatry
Avila Insambergth, Arsenio   Jose; Anesthesiology
Bakker, Gerald   James John
Balakrishnan, Apoorva; General Surgery
Baldauf, Christian   Gerd Gotthard; Diagnostic Radiology
Baldisera, Tara-Anne; Family Medicine
Ball, Allison Laura; Gynecologic Oncology, Obstetrics and Gynecology
Banihashemi, Sayed-Behnam; Cardiology, Internal Medicine
Bansal, Ashima; Family Medicine
Baron, Tara   Tomlinson; Pediatrics
Barr, Scott K M; Plastic Surgery
Bartlett, Eric Steven; Diagnostic Radiology
Benedict, Richard Robert; General Surgery
Bhagavatula, Subramanya Sastry; Psychiatry
Bhatia, Pankaj; General Surgery
Bignucolo, Adam; Family Medicine
Bilgasem, Solieman Ahmed H; Urology
Bird, Jeffery Robert; Diagnostic Radiology
Bittira, Bindu; Cardiac Surgery
Blacklock, Elaine Gloria; Pediatrics
Blair, Amy   Elizabeth; Clinical Immunology and Allergy, Pediatrics
Blanchette, Nicholas   Stanley; Pediatrics, Rheumatology
Blayney, Marc   Peter; Pediatrics
Bleach, Carolyn Amy; Family Medicine
Boissonnault, Lynn Patricia; Family Medicine
Boldt, Ashlee Elizabeth; Family Medicine
Bora, Bishwajit; Urology
Borkovich, Renee Michelle; General Internal Medicine, Internal Medicine
Boscariol, Rya Heather; Anesthesiology
Bota, Gary William; Emergency Medicine
Boudreau, Heather   Sarah Ross; Gastroenterology, Internal Medicine
Boulias, Chris; Physical Medicine and Rehabilitation
Bourdon, Christopher Antonio; Family Medicine, Family Medicine (Emergency Medicine)
Bourque, Danielle K; Medical Genetics and Genomics
Bowen, Julie Lynn; Radiation Oncology
Boycott, Kym Marie; Medical Genetics and Genomics
Boylan, Declan Peter; Psychiatry
Boyle, David   Lionel; Anesthesiology
Brabant, Angele   Yvette; General Internal Medicine, Internal Medicine
Breau, Melanie   Danielle; Pediatrics
Brule, Michele Fleurette Mercia; General Surgery
Brulotte, Melanie; Anesthesiology
butt, zulfiqar  Ali; Urology
Button, Cheryl   Lynn; Anesthesiology
Callaghan, James Gabriel Joseph; Family Medicine
Cameron, Sandra Jean; Internal Medicine, Respirology
Cano, Pablo Oscar; Internal Medicine, Rheumatology
Carlson, Ryan George; Radiation Oncology
Carmichael, Scott Alvin Garnet; Psychiatry
Carr, Thomas   John; Nuclear Medicine
Carrier, Morgan Merie; Family Medicine
Caruso, Andrew; Family Medicine, Family Medicine (Emergency Medicine)
Cavanagh, Matthew Nicolas; Critical Care Medicine, Internal Medicine
Centis, Tajana Marie; Family Medicine
Chandy, George   Pariyampadathu; Internal Medicine, Respirology
Chandy, Mark Joseph Koonthanam; Cardiology, Internal Medicine
Charette, Yannick Andre; Family Medicine
Charette, Yves   Gerard; Family Medicine
Chau, James   Tak On; Family Medicine
Chen, Teh-Chuen; Anatomical Pathology
