Abadir, Anna Maria A; Psychiatry
Abdin, Rawand   Mowaffaq; Internal Medicine, Internal Medicine
Akhtar, Waseem; Family Medicine
Allard, Christopher Brian; Urology
Al-Mousawy, Saif; Cardiology, Internal Medicine
Alolabi, Noor; Plastic Surgery
Al-Sarraf, Sadeq; Child and Adolescent Psychiatry, Psychiatry
Al-Tukmachi, Ahmad Mohammed Shihab; Family Medicine
Amaladoss, Alfred Michael Manickam; Psychiatry
Amaladoss, Noel   Rufus; Psychiatry
Anderson, Jocelyn Mary Catherine; Family Medicine
Archibald, Susy   Raymonde; Family Medicine
Armstrong, Mitchel Douglas; Orthopedic Surgery
Armstrong, Robert   Douglas; Orthopedic Surgery
Assad, Christopher   James; Plastic Surgery
Austin, Janice Lynn; General Surgery, General Surgical Oncology
Bacopulos, Sarah   Anne; General Surgery
Badalato, Heather   Ann; Family Medicine
Baier, Paul   Adolf; Anesthesiology
Baillie, Jane   Irmgard; Obstetrics and Gynecology
Ballyk, Catherine Jane; Physical Medicine and Rehabilitation
Bansal, Pankaj Eric; Family Medicine
Barnfield, Paul Christopher; Internal Medicine, Medical Oncology
Barrese, Carol   Anne; Anesthesiology
Bartens, Michelle Lee; Family Medicine
Batchra, Nandita; Otolaryngology - Head and Neck Surgery
Batten, Kevin   Cyril
Battigelli, Marino; Psychiatry
Beaudry, Philippe   Richard; Cardiology, Internal Medicine
Bebbington, Fraser Alexander; Anesthesiology, Critical Care Medicine
Benhabib, Larbi; Family Medicine, Family Medicine (Emergency Medicine)
Berardocco, Matthew   Anthony; Physical Medicine and Rehabilitation
Berlingieri, Joseph   Carmen; Internal Medicine
Bernstein, Leora Ruth; Anesthesiology
Bhandhal, Sharn Harpal; Internal Medicine, Nephrology
Bhullar, Sundeep; Family Medicine
Bibr, Henry Jindrich; Psychiatry
Bindlish, Rajiv; Ophthalmology
Borden, Susan Maria; Family Medicine
Bourne, Jennifer Julia; Family Medicine
BRAJOVIC, ANDREJ; Child and Adolescent Psychiatry, Psychiatry
Brown, Stephen   Christopher; Plastic Surgery
Buchanan, Ian Mitchell; Emergency Medicine
Cacic, Ivan; Anesthesiology
Cameron, Brian   William; Family Medicine
Cao, Yang; General Internal Medicine, Internal Medicine
Carling-Chambers, Lucille Barbara; Cardiology, Internal Medicine
Carter, Paul Stephen; Plastic Surgery
Casey, Richard   William; Urology
Chan, Beverley Pui Kee; General Surgery, Vascular Surgery
Charland, David Andre; Family Medicine
Chavoshi, Samieh; Anesthesiology
Cherian, Joe; Family Medicine, Family Medicine (Emergency Medicine)
Chiu, Brendan But-Sit
Chopra, Deepti; Gastroenterology, Internal Medicine
Chou, Sheila; Diagnostic Radiology
Choy, Ian   Chee-Yen; General Surgery
Christjanson, Lisa   Jennifer; Hematology, Internal Medicine
Cole, Eric Brian; Urology
Colonne, Don   Dhaminda Prasannajith; Psychiatry
Comay, Daniel   Clive; Gastroenterology, Internal Medicine
Comeau, Byron   Keith; Family Medicine
Correia, Jason   Daniel; General Surgery
Cross, Randolph   Gordon; Family Medicine
Cross, Ryan  Gordon; Family Medicine
Cuddy, Timothy   Joseph; Family Medicine
Cui, Wendy; Family Medicine
Darcel, Ian   Christopher; Cardiology, Internal Medicine
Davis, Amie   Jeanette; Family Medicine
De Freitas, Sandra Angela; Internal Medicine
De Jong, Christine Grace; Obstetrics and Gynecology
de Kleer, Nancy   Mary Ann; Plastic Surgery
Denardi, Franco   Graziano; Anatomical Pathology
Deniz, Stacy Ghislaine; Obstetrics and Gynecology
Deshpande, Maneesh   Anant; Anesthesiology
Docrat, Zohra; Obstetrics and Gynecology
Duncan, Graeme   Stephen; Family Medicine
Durant, Craig David; General Surgery, Vascular Surgery
Dzaja, Ivan; Orthopedic Surgery
Eidlitz, Carey   Jeffrey; Anesthesiology
ElAlfy, Ahmed   Mahmoud Ibrahim; Anesthesiology
Elias, Fadi; Vascular Surgery
Elit, Lorraine   Margaret; Obstetrics and Gynecology
Elmazariky, Nada Mohamed Ali Sayed; Internal Medicine
Fajobi, Abiola Oluwabukola; Family Medicine
Farber, Noah Jesse; Family Medicine, Family Medicine (Emergency Medicine)
Farghaly, Ghada Mohamed Mahmoud Amer; Internal Medicine
Faulkner, Paul   Edward; Family Medicine, Family Medicine (Emergency Medicine)
Feinberg, Adina Esther; General Surgery
Fernandes, Nicole Dominica; Pediatrics
Field, Courtney Blair; Family Medicine
Ford-Jones, Anthony   Eric Andre; Pediatrics
Fornasier, Frank   Peter; Family Medicine
Foster, Michael   John
Francescutti, Valerie   Amanda; General Surgery
Fraser, Gordon   Andrew Donald; Obstetrics and Gynecology
French, Shannon Beverly; Clinical Immunology and Allergy, Pediatrics
Fung, Filgen  Yut-Tou; Emergency Medicine
Furqan, Muhammad Ali; Family Medicine, Family Medicine (Emergency Medicine)
Ganesan, Ramakrishnan; Neurology
