Abbas, Minan; Endocrinology and Metabolism, Internal Medicine
Abdul-Karim, Rasha Mohammed A; General Internal Medicine, Internal Medicine
Adunuri, Nikesh Reddy; Internal Medicine
Agrawal, Sumit Kishore; Otolaryngology - Head and Neck Surgery
Aguanno, Alaina F; Family Medicine
Ahmad, Belal; Radiation Oncology
Akincioglu, Cigdem; Nuclear Medicine
Alam, Muhammad Mumtaz; Family Medicine
Al-Areibi, Arif Ramadane Abdullah; Anesthesiology
Alhendi, Alaa  Abdulaziz A; Internal Medicine, Nephrology
Alkhamesi, Nawar Abdul Hadi Saleh; General Surgery
Alkhattabi, Maan Sadaqa M; Gastroenterology, Internal Medicine
Allen, Julie Katherine; Family Medicine
Amin, Muhammad; Family Medicine
Anderson, Matthew Frederick; Ophthalmology
Anderson, Scott   Bruce; Emergency Medicine
Ang, Lee Cyn; Neuropathology
Antiperovitch, Pavel; Cardiology, Internal Medicine
Appleton, Andrew James Edward; General Internal Medicine, Internal Medicine
Appleton, Christopher Thomas George; Internal Medicine, Rheumatology
Appleton, Sarah Elizabeth; Plastic Surgery
Arakgi, Michelle Elizabeth; Orthopedic Surgery
Arango Arango, Miguel Fernando; Anesthesiology
Arif, Ragdah Hussain M; Internal Medicine, Respirology
Armstrong, Christopher Edward; Anatomical Pathology
Armstrong, Kevin   Paul James; Anesthesiology
Armstrong, Paidrig Michael Joseph; Anesthesiology
Arntfield, Robert   Thomas; Critical Care Medicine, Emergency Medicine
Asfaha, Samuel; Gastroenterology, Internal Medicine
Athwal, George Ghanaya Singh; Orthopedic Surgery
Awan, Kokab Imtiaz Ahmad; Internal Medicine
Azarpazhooh, Mahmoud Reza; Neurology
Bach, David   Bernard; Diagnostic Radiology
Bagur, Rodrigo   Hernan; Cardiology, Cardiology, Internal Medicine, Internal Medicine
Bailey, Christopher Stewart; Orthopedic Surgery
Bainbridge, Daniel Tom; Anesthesiology
Barr, Jennifer; Psychiatry
Barra, Lillian   De Jesus Jeremias; Internal Medicine, Rheumatology
Basharat, Pari; Internal Medicine, Rheumatology
Basmaji, John; Critical Care Medicine, Internal Medicine
Batohi, Pravin; Anesthesiology
Bauld Giffin, Dawn Leanne; Emergency Medicine
Bauman, Glenn  Stewart; Radiation Oncology
Beaton, Melanie   Dawn; Gastroenterology, Internal Medicine
Behme, Nancy   Ann; Family Medicine
Bellingham, Geoff   Alexander; Anesthesiology, Pain Medicine
Ben Nachum, Ilanit; Diagnostic Radiology
Berberich, Amanda Jean; Endocrinology and Metabolism, Internal Medicine
Bergin, Margaret Lynn; Cardiology, Internal Medicine
Bertrand, Monique   Adele Marie; Obstetrics and Gynecology
Bevan, Rachel Bronwen; Family Medicine
Bhaduri, Mousumi Samar; Diagnostic Radiology
Bhanji, Tania; Family Medicine
Bhayana, Bhooma; Family Medicine
Bhimani, Munsif   Ali; Family Medicine, Family Medicine (Emergency Medicine)
Bigham, Gerald   Louis
Biswas, Abhijit; Anesthesiology
Bjazevic, Jennifer Marlene; Urology
Blake, Peter   Gerard; Internal Medicine, Nephrology
Blissett, Sarah Lynn; Cardiology, Internal Medicine
Bondy, Lise Catherine; Infectious Diseases, Internal Medicine
Borger, Jonathan Ronald; Anesthesiology, Critical Care Medicine
Borrie, Michael   John; Geriatric Medicine, Internal Medicine
Bosma, Karen Joy; Internal Medicine, Respirology
Boughner, Derek Richard; Internal Medicine
Boulton, Melfort   Richard; Neurosurgery
Boyd, Tristan Alexander; Internal Medicine, Rheumatology
Brackstone, Muriel; General Surgery
Brady, Scott Ronald John; Family Medicine, Family Medicine (Emergency Medicine)
Brahm, Gary   Lee; Diagnostic Radiology
Brahmania, Mayur; Gastroenterology, Internal Medicine
Brine, Meggan Ashleigh; Family Medicine
Briscoe, Graham Arthur; Family Medicine
Brock, Gerald Benjamin; Urology
Brookes, Jonathan; Anesthesiology, Anesthesiology
Bruni, Ida; Anesthesiology
Brymer, Christopher   David; Geriatric Medicine, Internal Medicine
Burneo de las Casas, Jorge   Guillermo; Neurology
Burrell, Alishya Rose; Geriatric Medicine, Internal Medicine
Bursztyn, Lulu Liane Catherine Danielle; Ophthalmology
Butler, Ronald   James; Anesthesiology, Critical Care Medicine
Byrne, Christopher Michael; Emergency Medicine
Caine, Sean Patrick; Family Medicine, Family Medicine (Emergency Medicine)
Calvin, James   Eldon; Cardiology, Internal Medicine
Cameron, Paul Allan; Critical Care Medicine, Internal Medicine
Campbell, Jeffrey Douglas; Urology
Carey, Timothy   Patrick; Orthopedic Surgery
Casserly, Courtney Sarah; Neurology
Cassidy, Caitlin Margaret Rose; Physical Medicine and Rehabilitation
Cave, Anita Laima; Anesthesiology
Cejic, Sonny   Sinisa; Family Medicine
Chakrabarti, Subrata; Anatomical Pathology
Champion, Lois   Kathleen; Anesthesiology
Chan, Ian Lik-Yan; Diagnostic Radiology
Chan, Lik Hang Tommy; Neurology
Chan, Nelson Nai Shun; Family Medicine
Chan, Richard Kok Tiong; Neurology
Chande, Nilesh; Gastroenterology, Internal Medicine
Cheng, Davy   Chung-Huen; Anesthesiology
Cherry, Richard   Andrew; Anesthesiology
Chin, Lip Kuen Joseph; Urology
Chin, Melissa Yarr Wern; Anesthesiology
Chin-Yee, Ian   Harold; Hematology, Internal Medicine
Chou, Queena; Obstetrics and Gynecology
Chu, Michael   Wayne Art; Cardiac Surgery
Chung, Jonathan Byung-Min; Diagnostic Radiology
Church, Brian   Arthur; Anesthesiology
Church, Karalyn Lee; Emergency Medicine
Clarke, Collin   Franklin Murphy; Anesthesiology
Clemens, Kristin Kyomi; Endocrinology and Metabolism, Internal Medicine
Clement, John   Stuart; Family Medicine
Cogliano, Antonio; Family Medicine
Colby, William David; Medical Microbiology
Colquhoun, Patrick Horton Danvers; General Surgery
Connaughton, Dervla; Nephrology
Cookson, Christina Anne; Family Medicine
Cool, Derek William; Diagnostic Radiology
Coome, Grant Edward Arthur; Family Medicine, Family Medicine (Emergency Medicine)
Cooper, Paul   Edward; Neurology
Crabbe, Rory Adam
Craen, Rosemary   Ann Patricia; Anesthesiology
Craig, Michael Brian; Family Medicine
Crumley, Tracey Lynn; Obstetrics and Gynecology
Cubillos Salcedo, Javier Enrique; Anesthesiology
Cunningham, Christy Alycia; Family Medicine, Family Medicine (Emergency Medicine)
Dagnone, Robert Vico; Emergency Medicine
Dasgupta, Monidipa; Geriatric Medicine, Internal Medicine
Davey, Ryan Alexander; Cardiology, Internal Medicine
Davies, Edward   Thomas; General Surgery
Davis, Matthew   Theodore; Emergency Medicine
De Ribaupierre, Sandrine   Nathalie; Neurosurgery
de Vasconcelos Fernandes, Ricardo Augusto; Medical Oncology
de Vrijer, Barbra; Obstetrics and Gynecology
Debicki, Derek Brian; Neurology
Degen, Ryan Michael; Orthopedic Surgery
Delport, Johannes Andries; Medical Microbiology
DeLyzer, Tanya Lynn; Plastic Surgery
Denstedt, John Douglas; Urology
DeRose, Gaetano; General Surgery, Vascular Surgery
Despard, Caroline Mary; Family Medicine
Devlin, Megan Katharine Benson; Infectious Diseases, Internal Medicine
Dhaliwal, Inderdeep Singh; Internal Medicine, Respirology
Dhir, Achal   Kumar; Anesthesiology
Dhir, Shalini; Anesthesiology
Diachun, Laura Lee; Geriatric Medicine, Internal Medicine
Diamantouros, Pantelis; Cardiology, Internal Medicine
Dias, Bryan Francis; Cardiology, Internal Medicine
Dinniwell, Robert   Edward; Radiation Oncology
Diosy, David   Christopher; Neurology
Doherty, Timothy John; Physical Medicine and Rehabilitation
Dong, Alex Xin; Emergency Medicine
Donovan, Keith Duane; Emergency Medicine
Doran, Sean Thomas; Emergency Medicine
Dost, Omer Ali; Family Medicine
Dresser, George Kenneth; Internal Medicine
Dreyer, Jonathan   Frederic; Emergency Medicine
Driman, David   Kevin; Anatomical Pathology
Drosdowech, Darren   Sean; Orthopedic Surgery
Dua, Varinder; Psychiatry
Dubois, Luc   Andre Joseph; General Surgery, Vascular Surgery
Duggal, Neil; Neurosurgery
Dukelow, Adam   Michael; Emergency Medicine
Dulay, Jaspal Singh; Family Medicine
Duncan, Audra Arax; Vascular Surgery
Durocher, Daniel Paul; Cardiology, Internal Medicine
Eaton, Jo-Ann   Margaret
Eberhard, Thomas   Samuel Charles
Edmonds, Marcia   Lynn; Emergency Medicine
Eisenhauer, Mary Alison; Emergency Medicine
El Chabib, Tarek; Family Medicine
El-Halabi, Waseem Nabil; Emergency Medicine
Elnahas, Ahmad Ibrahim; General Surgery
El-Sadi, Salman Abdel Khader Salman; Family Medicine, Family Medicine (Emergency Medicine)
Elsayed, Sameer; Infectious Diseases, Internal Medicine, Medical Microbiology
Etemad-Rezai, Roya; Diagnostic Radiology
Ettler, Helen   Catrin; Anatomical Pathology, General Pathology
Evans, Herbert   Brian; Plastic Surgery
Faber, Kenneth   John; Orthopedic Surgery
Fairweather, Sara Michelle; Family Medicine
Fantillo, Vanessa April; Anesthesiology
Farquhar, Donald Robert; Internal Medicine, Respirology
Feagan, Brian Gordon; Internal Medicine
Feyles, Valter; Obstetrics and Gynecology
Finger, Elizabeth Carrie; Neurology
Fischer, Lisa  Kelly; Family Medicine
Fleming, Michaele Suzanne
Flier, Suzanne; Anesthesiology
Florendo-Cumbermack, Anita Gonsalvez; Neurology
Forristal, Chantal Jacqueline; Emergency Medicine
Fortin, Dalilah; General Surgery, Thoracic Surgery
