Abaya-Comendador, Albina; Psychiatry
Abdelshaheed, Tamer; Internal Medicine, Respirology
Afshar, Mehdi; Internal Medicine
Agarwal, Seema; Family Medicine
Agate, William   Arthur; Family Medicine, Family Medicine (Emergency Medicine)
Aksoy, Tuba; Obstetrics and Gynecology
AlAli, Abdulaziz Saad S; Critical Care Medicine, Neurosurgery
Ali, Mohamed  Jaffer; Anesthesiology
Alikhan, Riyaaz; Family Medicine, Family Medicine (Emergency Medicine)
Al-Mousawy, Zolfakar; Anesthesiology
Altaweel, Ziyad; Family Medicine
Amin, Khizer; Family Medicine
Andrade, William   Noel; Plastic Surgery
Antonenko, Alexander; Family Medicine
Arora, Samantha Aditi; Critical Care Medicine, Internal Medicine
Arya, Aman Viny; Gastroenterology, Internal Medicine
Atrie, Damon; Emergency Medicine
Aujla, Prince   Sarabsukhjit Singh; Internal Medicine, Nephrology
Axler, Seymour   Reevan; Family Medicine, Family Medicine (Emergency Medicine)
Ayeni, Jenna Marie; Otolaryngology - Head and Neck Surgery
Ayeni, Olubimpe; Plastic Surgery
Aziz, Aly Shah Nadir; Neurology
Bajwa, Gurpaul   Singh; Emergency Medicine
Bartfeld, Naama; Family Medicine
Batay-Csorba, Peter Andrew
Beattie, John Douglas; Family Medicine
Beausoleil, Michel Stewart; Family Medicine
Bedi, Vishal; Obstetrics and Gynecology
Belej-Rak, Timea; Obstetrics and Gynecology
Belovay, Graham William; Ophthalmology
Bensoussan, Karen; Internal Medicine
Benzaquen, Susan; Obstetrics and Gynecology
Berger, Brian; Family Medicine
Berliner, Yaniv; Family Medicine, Family Medicine (Emergency Medicine)
Bernholtz, Jeffrey Jay
Bhanot, Kunal; Orthopedic Surgery
Bishinsky, Jonathan   I; Internal Medicine
Blachowitz, Roy; Family Medicine
Blakely, John Alexander; Internal Medicine
Blitzer, Steve Arthur; Family Medicine
Blustein, Norman   Stanley; Pediatrics
Bogach, Jessica Danielle; General Surgery
Bondarev, Eugene; Family Medicine
Boparai, Dennis   Kiranpal S; Diagnostic Radiology
Borys, Oksana Katherine; Neurology
Bose, Teertha   Jyoti
Boulos, Carolyn Marie; Psychiatry
Boyd, Jennifer Anne; Family Medicine
Bray, Riina Ines; Family Medicine
Brijbassi, Melissa Mala; Internal Medicine, Respirology
Brown, Deron   Jeffrey; Otolaryngology - Head and Neck Surgery
Buchan, Brian Joseph; Critical Care Medicine, Internal Medicine
Buckle, Christopher Eric; Diagnostic Radiology
Buckler, Philip Michael; Diagnostic Radiology
Budhani, Faisal; Diagnostic Radiology
Bui, Luke Long Quoc; General Surgery
Bukmuz, Rica
Burke, Stephen Joseph; Family Medicine
Busato, Gian-Marco Christian; Otolaryngology - Head and Neck Surgery
Camazzola, Daniele Carlo; Orthopedic Surgery
Cameron, Roderick   Hugh; Diagnostic Radiology
Campbell, Thomas Ross
Carr, David; Family Medicine, Family Medicine (Emergency Medicine)
Castiglione, Alberto; Family Medicine
Cernat, Geta; Family Medicine
Chan, Bonnie   Felicia; Family Medicine
Chan, John Chi Cheong; Psychiatry
Chan, Raymond   Paul; Diagnostic Radiology
Chan, Victoria Mai-Ying; Internal Medicine, Respirology
Cheah, David; Family Medicine
Cheema, Harpaul   Singh; Internal Medicine, Nephrology
Chen, Danny   Kuan-I; Infectious Diseases, Internal Medicine
Chen, Yen-Fu; Physical Medicine and Rehabilitation
Cheng, James Jin; Anesthesiology
Cheng, Michelle; Family Medicine
Cheung, Colleen Kwok-Yee; Family Medicine
Cheung, Evelyn Ning Man; Geriatric Medicine, Internal Medicine
Cheung, Jasmine   Sze-Yan; Anesthesiology
Chivers, Quinton Jamnes; Plastic Surgery
Choi, Hyoungjin; Internal Medicine
Chong, Paul   Woon Chung; Cardiology, Internal Medicine
Chu, Derek Kuo-Cheng; Clinical Immunology and Allergy, Internal Medicine
Chu, Eric   Kuo-Chi; Critical Care Medicine, Internal Medicine, Respirology
Chua, Grace   Liu; Cardiology, Internal Medicine
Chuang, Ian; Anesthesiology, Family Medicine
Chung, Chin   Kwan; Family Medicine
Clarridge, Nicholas Edward Christopher; Family Medicine
Cluff, Stephen   John; Family Medicine, Family Medicine (Emergency Medicine)
Cohen, Dana Rachel; Internal Medicine, Rheumatology
Cohen-Lyons, Phillip Daniel; Gastroenterology, Internal Medicine
Conrad, Krzysztof; Otolaryngology - Head and Neck Surgery
Costa, Giuseppe; Orthopedic Surgery
Crystal, Alexander; Cardiology, Internal Medicine
Culnan, James   George Joseph; Gastroenterology, Internal Medicine
Da Rosa, Michael Robert; Diagnostic Radiology, Nuclear Medicine
Dammermann, Scott; Family Medicine
Daniels, James   Eric; Diagnostic Radiology
Dave, Shefali; Anesthesiology
Davids, Taryn; Otolaryngology - Head and Neck Surgery
Dawson, John   Macdougall; Family Medicine
De Maio, Peter Nicholas; Diagnostic Radiology
Denton, Omotayo; Diagnostic Radiology
Devenyi-Blitzer, Andrea; Former Name: Devenyi, Andrea
Di Nardo, Luciano Salvatore; Family Medicine
Di Santo, Loredana; Family Medicine
Dighe, Krupa   Hasmukh; Geriatric Medicine, Internal Medicine
Doobay, Dharmendra; Family Medicine
Dorrepaal, Stephen John; Ophthalmology
Dostaler, Alexandre David; Family Medicine, Family Medicine (Emergency Medicine)
Doucet, John Mcbride; Anatomical Pathology
Douglas, Simone   Ann; Family Medicine
Dreyzin, Vadim; Family Medicine
Drury, Kathryn   Jeanette; Family Medicine
