Aarts, Mary-Anne   Wilhelmina; Critical Care Medicine, General Surgery
Abdel-Mesih, Amal; Anatomical Pathology
Abdel-Qadir, Husam-Eldin   Mohamed; Cardiology, Internal Medicine
Abouali, Jihad   Alexander Karim; Orthopedic Surgery
Abrahamson, John   Lewis Alexander; Internal Medicine
Adler Nevo, Gili Wendy; Child and Adolescent Psychiatry, Psychiatry
Ador-Dionisio, Jorge B.; Diagnostic Radiology
Afshar, Mehdi; Internal Medicine
Aggarwal, Anjali; Obstetrics and Gynecology
Al-Abri, Mahmood   Shaikhan Abdullah; Hematology, Internal Medicine
Al-Sukhni, Eisar; General Surgery, General Surgical Oncology
Amadio, Jennifer Marie; Cardiology, Internal Medicine
Andreou, Efrosini   Roseann; Hematology, Internal Medicine
Appell, William   Allan; Gastroenterology, Internal Medicine
Aptekman, Marina; Family Medicine
Arenson, Tarin Romi; Family Medicine
Atkinson, Celia; Pediatrics
Au-Yeung, Elizabeth   Joy; Anesthesiology
Awerbuck, Jonathan   Adam; Family Medicine
Axler, John   Thomas; Family Medicine
Babic, Bojana; Endocrinology and Metabolism, Pediatrics
Badmos, Oluleke Salimon; Obstetrics and Gynecology
Bahreini, Zoya; Gastroenterology, Internal Medicine
Bain, Douglas   James; Respirology
Balachandran, Aran; Family Medicine, Family Medicine (Emergency Medicine)
Ballinger, Lisa   Marie; Former Name: Holm, Lisa Marie
Baron, Matthew Geoffrey; Family Medicine
Barrett, Rachel Allison; Pediatrics
Barron, Jacquelyn Alexandra; Psychiatry
Barua, Reeta; Internal Medicine
Baruch, Ruth; Psychiatry
Bazos, Michael James; Former Name: Bazos, Michael
Beber, Brett Ashley; Plastic Surgery
Bejaimal, Shayna Amrita Devi; Internal Medicine
Beliavsky, Alina; Infectious Diseases, Internal Medicine
Bellaire, Jacqueline   Denise; Family Medicine
Benjamin, Matthew Stephen; Diagnostic Radiology
Bernick, Paul   Edward; General Surgery
Berntson, Laura   Christine
Betschel, Stephen Daniel; Clinical Immunology and Allergy, Internal Medicine
Bezu, Kesete   Tsegay; Pediatrics
Bin, James Chung-Yau; Internal Medicine, Medical Oncology
Blair, Amy   Elizabeth; Clinical Immunology and Allergy, Pediatrics
Blazer, Alina Julia; Internal Medicine, Respirology
Blumenfeld, Aaron Jay; Urology
Borgono, Carla   Andrea; Internal Medicine
Borrett, Donald Stephen; Neurology
Brandt, Michael   Gil; Otolaryngology - Head and Neck Surgery
Brasg, Ian Ari; Infectious Diseases, Internal Medicine
Bricks, Corey Sean; Family Medicine
Buchan, Brian Joseph; Critical Care Medicine, Internal Medicine
Buckle, Christopher Eric; Diagnostic Radiology
Caco, Christopher   Carl; Diagnostic Radiology
Cader, Shifaya; Family Medicine
Campbell, Verne   Malcolm; General Surgery, Vascular Surgery
Casey, David James; General Internal Medicine, Internal Medicine
Catre, Melanio   Garcia; Orthopedic Surgery
Chad, Lawrence Lyon; Psychiatry
Chan, Dora; Obstetrics and Gynecology
Chan, Patricia   Chee Ka; Internal Medicine
Chan, Suk   Kong
Chandrakumar, Shivani Felicia; Family Medicine
Chang, Alvin; Anesthesiology, Critical Care Medicine
Chang, David   Hon-Sen; Anesthesiology
Chang, Justues   Heng Hien; Orthopedic Surgery
Charnish, Michael Barry; Family Medicine, Family Medicine (Emergency Medicine)
Cheema, Asim Nazir; Cardiology, Internal Medicine
Cheema, Harpaul   Singh; Internal Medicine, Nephrology
Cheema, Jasreen; Family Medicine
Chen, Dean   Li-Hsiang; Gastroenterology, Internal Medicine
Cheung, Eileen Yee Lam; Family Medicine, Family Medicine (Emergency Medicine)
Cheung, Patrick   Charn Fai; Radiation Oncology
Chiodo, Albino chiodo; Otolaryngology - Head and Neck Surgery
Chisvin, Martin   Joel; Psychiatry
Choi-Fung, Betty Lai See; Family Medicine
Chopra, Sabeena Bala; Psychiatry
Chow, Stephen   Shu-Sum; Internal Medicine, Nephrology
Christakis, Theodore Jonathan; Ophthalmology
Chu, Karen Lisa; Family Medicine, Family Medicine (Emergency Medicine)
Chu, William; Radiation Oncology
Chung, Hans Tse-Kan; Radiation Oncology
Ciccarelli, Robert Victor; Family Medicine
Clarkson, Blaise   Damaris; Family Medicine
Colledge, Eleanor Mary; Family Medicine
Comondore, Vikram Ravindran; Internal Medicine, Respirology
Coomes, Eric Anthony; Internal Medicine
Costello, Lorne Leo James; Emergency Medicine
Cox, Gemma   Louise; Family Medicine
Cram, Jennifer   Anne; Obstetrics and Gynecology
Cruickshank, Matthew Jon; Family Medicine
Cyriac, Jamie Stephen; General Surgery
Da Costa, Rhiannon; Internal Medicine
Dahche, Tarek; Internal Medicine
Daly, Andrea Louise; Internal Medicine
Darragh, Patrick James; Internal Medicine
Davidson, Ellen Chloe McInnes; Pediatrics
de Veber, Hilary Ruth Helen; Pediatrics
Detsky, Jay Stephen; Radiation Oncology
Dhruve, Miten Jitendra; Internal Medicine, Nephrology
Ding, Shiyang; Family Medicine
Disperati, Patricia; Hematology, Internal Medicine
Ditkofsky, Noah Gabriel; Diagnostic Radiology
Djordjevic, Bojana; Anatomical Pathology
Downes, Michelle Rose; Anatomical Pathology
Downey, James Frederick; Infectious Diseases, Internal Medicine, Medical Microbiology
Downie, Mallory Lorraine; Nephrology, Pediatrics
Duke, Anthony Sholto Raymond; Pediatrics
Dutrisac, Renaud; Family Medicine
Dvali, Linda Tina Louise; Plastic Surgery
Economopoulos, Peter Alexander; Internal Medicine
El Masri, William   Samuel Aziz; Otolaryngology - Head and Neck Surgery
Enepekides, Danny Jordan; Otolaryngology - Head and Neck Surgery
Erdmann, Natalie Irene; Psychiatry
Erlich, Christine Mary; Ophthalmology
Ernjakovic, Milan; General Surgery
Eskander, Antoine; Otolaryngology - Head and Neck Surgery
Esmaeilizand, Rana; Neonatal-Perinatal Medicine, Pediatrics
Evans, Andrea Blair; Pediatrics
Fairbairn, James; Family Medicine
Fallis, Brooks Alexander; Critical Care Medicine, Internal Medicine
Fine, Rebecca Judith; Endocrinology and Metabolism, Internal Medicine
Fishman, Steven  Daniel; Psychiatry
Fitzpatrick, Caitlin Eileen; Family Medicine
Flanagan, Janine   Anne; Pediatrics
Florescu, Ana; Internal Medicine
Foster, Heather Phyllis Marina; Pediatrics
Fraser, Ian   Murray; Internal Medicine, Respirology
Frecker, Helena Mary Alaine; Obstetrics and Gynecology
Freedman, Carolyn Anne; Pediatrics
Friedman, Jerry   Albert; Psychiatry
Fung, Raymond   Charm-Lun; Endocrinology and Metabolism, Internal Medicine
Gabilondo, Cedric Sebastian; Psychiatry
Gage, Laura Elizabeth; Geriatric Psychiatry, Psychiatry
Gans, Maja   Grace; Obstetrics and Gynecology
Gasser, Joseph; Ophthalmology
Gazala, Sayf Shawqi George; General Surgery, Thoracic Surgery
Ghazala, Laith Shawqi George; Internal Medicine, Respirology
Ghazan-Shahi, Sassan; Internal Medicine, Nephrology
Gilas, Thomas; General Surgery
Gilbert, Jaclyn Christina; Anesthesiology
Godard, Stephanie Elizabeth Taube; Family Medicine
Goddard, Shannon Lynn; Critical Care Medicine, Internal Medicine
Godra, Anita; Anatomical Pathology
Goldfarb, Cynthia Ellen; Pediatrics
Goldfarb, David   R; Otolaryngology - Head and Neck Surgery
Gooden, Everton   Anthony; Otolaryngology - Head and Neck Surgery
Gopinath, Raghunandan; Gastroenterology, Internal Medicine
Gotowiec, Andrew Peter; Psychiatry
Gould, Kyle Gordon; Family Medicine
Grant, Kelly   Erin; Family Medicine
Gravel, Jonathan; Family Medicine
Greco, Elisa Francesca; General Surgery, Vascular Surgery
Grenville, Jeffrey; Diagnostic Radiology
Griesman, Jordan Alan; Diagnostic Radiology, Nuclear Medicine
Groll, Ryan   Jeffrey; Urology
Gupta, Anup Kumar; Cardiology, Internal Medicine
Haghbayan, Hourmazd; Internal Medicine
Hamilton, Julia Elizabeth; Family Medicine
Hanna, Michael Youssef Ghaly; Family Medicine
Hannam, Paul   Davidson; Family Medicine, Family Medicine (Emergency Medicine)
Harris, Aaron; Family Medicine
Hasham, Aliya Sabrina; Family Medicine
Hashemi, Narges; Family Medicine
Havey, Thomas Ciaran; Infectious Diseases, Internal Medicine
Heimrath, Olivier; Urology
Heller, Adrian Mitchell; Family Medicine, Family Medicine (Emergency Medicine)
Hendren, Elizabeth Marie; Internal Medicine
Henry, Pauline Cardiss Leontyne; Anatomical Pathology
Higgins, James Patrick; Orthopedic Surgery
Higgins, Kevin   McLoughlin; Otolaryngology - Head and Neck Surgery
Hillmer, Melinda   Danielle; Critical Care Medicine, Internal Medicine
Himmel, Walter   Morris; Family Medicine, Family Medicine (Emergency Medicine), FCFP - Family Medicine
Hiscox, Michael   James; Anesthesiology
Ho, Angela   Luoh-Hua; Diagnostic Radiology
Ho, Angela Onkay; Psychiatry
Ho, Karen Cin Ting; Family Medicine, Family Medicine (Emergency Medicine)
Ho, Melissa Wei-Yee; Anesthesiology
Hofbauer, Brooke   Edison; Family Medicine
Hooks, Rosalie Joan; Family Medicine, FCFP - Family Medicine
Hu, William
Huband, Louisa   Ann; Family Medicine
Hubbard, Bradley James; Otolaryngology - Head and Neck Surgery
Hukui, Julie Naomi Marie; Pediatrics
Hum, Betty Mae Fong; Family Medicine
Hynes, Tyler Steven; Internal Medicine
Ihnat, John; Family Medicine
Ilk, Lisa   Anne; Family Medicine
Incardona, Nadia Kristina; Family Medicine, Family Medicine (Emergency Medicine)
Ing, Edsel   Bill; Ophthalmology
Israel, Amanda Megan; Gastroenterology, Internal Medicine
Iu, Simon   Chin Man; General Surgery
Ivanov, Karolina; Family Medicine
Iyer, Lakshmi   Priya; Internal Medicine, Respirology
Jamal, Laila Tasneem; Psychiatry
Janmohamed, Anisa; Family Medicine
Jauhal, Arenn Singh; Internal Medicine, Nephrology
Jazi, Mazen; Family Medicine, Family Medicine (Emergency Medicine)
Jha, Muneesh; Family Medicine
Jindal, Vinay Kumar; Family Medicine, FCFP - Family Medicine
Joffe, Robert; Family Medicine, Family Medicine (Emergency Medicine)
Jolliffe, Courtney Jane; Obstetrics and Gynecology
Joshi, Ramona; Family Medicine, Palliative Medicine
Jugovic, Pieter   Josef; Family Medicine
Kadhim-Saleh, Amjed; Family Medicine
Kaicker, Navin; Psychiatry
Kain, Dylan; Internal Medicine
Kain, Taylor; Internal Medicine
Kamble, Vaibhav   Arvind; Anesthesiology, Family Medicine
Kandasamy, Thileeban; Otolaryngology - Head and Neck Surgery
Kandel, Christopher Edward; Infectious Diseases, Internal Medicine
Kanga, Neha; Family Medicine
Kanjeekal, Santosh   Samuel Rajh; Family Medicine, Family Medicine (Emergency Medicine)
Kapoor, Monika; Family Medicine, Family Medicine (Emergency Medicine)
Kapoor, Sunil; Anesthesiology
Karam, Rana; Diagnostic Radiology
Karavattathayyil, Sebastian Joseph; Anatomical Pathology
Kargbo, John Hassan; Family Medicine, Family Medicine (Emergency Medicine)
Kargel, Marcus   Jason; Internal Medicine, Respirology
Katz, David Leslie; Critical Care Medicine, Internal Medicine
Katz, Kevin   Carl; Infectious Diseases, Internal Medicine, Medical Microbiology
Kaufman, Adam Jonathan; Family Medicine
Keetbaas, Shayne Dirk; Orthopedic Surgery
Keith, Julia   Lee; Neuropathology
Kell, John   Sholds; Urology
Kesarwani, Atul; Plastic Surgery
Khaksar Kahangy, Hossein; Neurology
Khandekar, Rucha; Family Medicine
Khitab, Aaron; Psychiatry
Khithani, Anil   Kanayalal; Family Medicine, FCFP - Family Medicine
Kim, Ha-Yeon; Internal Medicine, Respirology
Kiraly, Leslie   Tamas; Psychiatry
Kitto, Kimberley  Ann; Family Medicine
Klein, Avital; Child and Adolescent Psychiatry, Psychiatry
Klosek, Tom; Emergency Medicine
Klukach, John   James; Psychiatry
Ko, Samuel; Obstetrics and Gynecology
