Abonowara, Abdulgani Ab M; Cardiology, Internal Medicine
Abrishami, Amir; Anesthesiology
Adams, Jeremy   William; Cardiology, Internal Medicine
Agzarian, John; General Surgery, Thoracic Surgery
Ahmed, Salim
Alamer, Abdullah Kassim M; Hematology, Internal Medicine
Albahhar, Mahmood Ali A; Diagnostic Radiology, Interventional Radiology
Al-Dabbagh, Raed; Gastroenterology, Internal Medicine
Al-Darazi, Youness Ali; Pediatrics
Ali, Karim Firdous; Infectious Diseases, Internal Medicine
Alkenbrack, Kaleigh Elizabeth; Family Medicine
Amadio, Jennifer Marie; Cardiology, Internal Medicine
Amin, Sushma; Otolaryngology - Head and Neck Surgery
Anderson, Jordan Dale; Family Medicine
Arekapudi, Anil Kumar; Anesthesiology
Arif, Beenish; Family Medicine
Arvinte, Andrei; Diagnostic Radiology
Arvinte, Galina; Family Medicine
Ashraf, Kaleem; Pediatrics
Assuras, George   Nicholas; General Surgery
Asti, Melina; Psychiatry
Athreya, Sriharsha; Diagnostic Radiology, Interventional Radiology
Attallah, Gabriel   Nicola; Family Medicine
Austrup, Mona   Louise; Anesthesiology
Azabi, Tareq Omar  S; General Surgery
Baker, Darrell   Kurt; General Surgery
Baker, Emily Sinclair; Obstetrics and Gynecology
Bastedo, Timothy Paul; Family Medicine
Batool, Tahira; Clinical Immunology and Allergy, Internal Medicine
Bayley, Valerie   Anne; Family Medicine
Bedi, Vishal; Obstetrics and Gynecology
Beecroft, James Michael; Family Medicine, Family Medicine (Emergency Medicine)
Bellaire, Joan   Patricia; Family Medicine
Berti, Karen   Elizabeth; Family Medicine
Bertley, John; Internal Medicine, Respirology
Bhagirath, Chander   Parvesh; Pediatrics
Blackman, Eric Roderick; Orthopedic Surgery
Blewett, Christopher   James; General Surgery
Bojcevski, Alexandra   Tanya; Cardiology, Internal Medicine
Bokhari, Syed Mamoon Rasheed; Internal Medicine
Bonifacio, Antonino; Diagnostic Radiology
Boright, William   Robert; Anesthesiology
Bosey, Morris   Gregory Joseph; Anesthesiology
Brar, Parminder   Singh; Pediatrics
Brennan, Michael   Charles; General Pathology
Brick, Craig William Stuart; Emergency Medicine
Bronicheski, Alicia Victoria; Family Medicine
Broski, Anthony Peter; Internal Medicine, Nephrology
Brown, Andrew Dale; Diagnostic Radiology
Brown, Ian   Richard; Urology
Buetow, Candice Lee
Burger, Michael; Pediatrics
Bush, Keith   John; Plastic Surgery
Caetano, Helen Mary; Otolaryngology - Head and Neck Surgery
Cameron, Kathryn Maureen; Internal Medicine
Campeau, Denise Lynne; Family Medicine, Obstetrics and Gynecology
Cappelletti, Adriana Prima Beaudoin; Family Medicine
Chagla, Zain; Infectious Diseases, Internal Medicine
Chan, Gabriel David; Family Medicine
Chan, Terence Si-Chung; Internal Medicine
Chan, Winnie Wing-Yee; Cardiology, Internal Medicine
Chander, Ankush; General Pathology
Chau, Edmond Hung Leong; Anesthesiology, Critical Care Medicine
Chaudhry, Naheed Masood; Obstetrics and Gynecology
Chaudhry, Sultan Rashid; Internal Medicine, Nephrology
Chaudhuri, Dipayan; Internal Medicine
Cheema, Gurnam   Singh; Obstetrics and Gynecology
Cheema, Harpaul   Singh; Internal Medicine, Nephrology
Cheng, Gordon Wayland; Diagnostic Radiology
Chiew, Soon Kwang; Cardiology, Internal Medicine
Child, Jeremy Raleigh; Family Medicine
Chin, Esther Anne; Obstetrics and Gynecology
Chow, Jonathan   Sheldon
Chu, David   Kin; Diagnostic Radiology
Chung, Han-Oh; Critical Care Medicine, Internal Medicine
Ciganovic, Olivera; Anesthesiology
Ciprietti, Lucas Anthony; Internal Medicine
Cividino, Maureen Elizabeth Philp; Family Medicine
Connolly, Michael James; Diagnostic Radiology
Cranford, Jeffrey William Herbert; General Surgery
Crowe, Adrian   Charles; Family Medicine, Family Medicine (Emergency Medicine)
Cuthbert, David Anthony; Radiation Oncology
Da Rosa, Michael Robert; Diagnostic Radiology, Nuclear Medicine
Dalton, Elise Marie; Obstetrics and Gynecology
Dalziel, Katie Jane; Family Medicine
Daniel, Alan Brian; Family Medicine
Dawehr, Serajedden A Ahmed; Internal Medicine
Delrue, Andrea   Nicole Johnston; Internal Medicine
Demarco, Stephanie Anne; Family Medicine
Denardi, Franco   Graziano; Anatomical Pathology
Dew, Bernard; Family Medicine, Family Medicine (Emergency Medicine)
Dickson, John   Robert; Internal Medicine, Rheumatology
Dilauro, Marc; Diagnostic Radiology
Dillon, Whitney Anne Huggins; Family Medicine
Dingwall, Molly Hannah; Family Medicine
Dion, Marie Susanne; Urology
Dorah, Nicholas Hugh; Pediatrics
Doyle, Jeffrey D; Critical Care Medicine, General Surgery
D'Sa, Ryan A; Internal Medicine
Durant, Craig David; General Surgery, Vascular Surgery
DuVall, Donald   Ernest; Anesthesiology
El Rouby, Doaa Hussin Saad Eldin; Internal Medicine
El Saidi, Mohammed Abdel Latif Mahmoud Mohammed; Psychiatry
El Sayed, Manal Faissal; Pediatrics
El Zuway, Rabeh Mjihed Ali; Internal Medicine
Erstling, Rachel   Sara; Psychiatry
Fallis, Robert   Roy; Family Medicine
Fan, Lily Zhuoqi; Diagnostic Radiology
Farrugia, Patricia Ruth; Orthopedic Surgery
Fernandes, Russell Warren; Cardiology, Internal Medicine
Fernando, Judith; Geriatric Medicine, Internal Medicine
Fielding, Ryan James; General Surgery
Finner, Kevin Patrick; Family Medicine
Frendo, Jennifer   Silvestra; Family Medicine
Fung, Carl Anthony Rhodes
Fung, Nancy   Manchi; Family Medicine
Gholam, Bassam Ibrahim Ahmad; Family Medicine, Family Medicine (Emergency Medicine)
Ghosh, Rishi   Kesh; Critical Care Medicine, Emergency Medicine
Giesbrecht, Janice   Louise; Internal Medicine, Medical Oncology
Golev, Dmitry Sergeyevich; Diagnostic Radiology
Gonzalez Porras, Maria Cecilia; Anesthesiology
Gowing, Robert   Neil; General Surgery, Vascular Surgery
Graham, Jessica Ann; Family Medicine
Graystone, Amber; Family Medicine, Family Medicine (Emergency Medicine)
Greavette, Thomas   Ford; Family Medicine
Greenway, Matthew John; Family Medicine
Gregg, John   Steven
Griffiths, Gregory Blake; Internal Medicine
Guirgis, Mina; Vascular Surgery
Gupta, Shlok; Internal Medicine
Habdank-Kossowski, Krzysztof; Diagnostic Radiology
Hagerman, Kayleigh Morgan; Family Medicine
Hallock, Abhirami; Radiation Oncology
Halperin, Joshua Mark; Diagnostic Radiology
Hamed Abdelazim, Hala Mohammed Fathi; Anesthesiology
Hampel, Elizabeth   Maria; Psychiatry
Hanna, John Raafat; Diagnostic Radiology
Hanna, Wael Chadi; General Surgery, Thoracic Surgery
Harb, Raymond   Tonios; Family Medicine
Harlock, John   Anthony; General Surgery, Vascular Surgery
Hasan, Sadiq; Psychiatry
Hasany, Aasim; Internal Medicine, Respirology
Hatcher, Michael   Cecil Edward
Haynen, Bennett   Kenji Maruno; Cardiology, Internal Medicine
Heritz, Dianne   Margaret; Urology
Heywood, David; Family Medicine
Heywood, James Brian; Family Medicine, Family Medicine (Emergency Medicine)
Hogg, Laurie   Craig
Hogg, Ryan Craig; Family Medicine
Hollidge, Melanie   Gay; Anesthesiology, Critical Care Medicine
Hoosen, Naushad; Family Medicine
Hoover, Brittany Dawn; Obstetrics and Gynecology
Housley, Richard John; Gastroenterology, Internal Medicine
Hui, Gladwin   Chun Wai; Diagnostic Radiology
Hutchinson, Janine   Margaret; Family Medicine
Hyatt, Peter   John; Family Medicine
Ibrahim, Hisham Gamal Eldin Mohammed; Anesthesiology
Ibrahim, Khaled   Mohamed Omar; Gastroenterology, Internal Medicine
Jahed, Ali; Diagnostic Radiology
Jain, Ankur; Internal Medicine
James, Jascinth Genevieve; Emergency Medicine
Jansen Van Rensburg, Nicolaas Marthinus; Family Medicine
Jany, Mark   Joseph; Internal Medicine, Respirology
Jensen, Lorraine Frances; Internal Medicine
Josefchak, Robert   George; Orthopedic Surgery
Joshi, Sangeeta; General Pathology
Joshi, Suhas   Balwant; Anatomical Pathology
Kahlon, Harry; Family Medicine
Kalani, Pratik Rajkumar; Family Medicine
Kalchman, Marc Jonathan; Orthopedic Surgery
Kandasamy, Gerald Raymond; Family Medicine
Kantor, Navot; Family Medicine
Kelada-Sedra, Ibtisam   Philip; Former Name: Sedra, Ibtisam Philip
Kerley, Brian   Keith; Family Medicine
Khan, Rubeena; Pediatrics
Khandelwal, Mukesh Kumar Nandlalji; Internal Medicine, Nephrology
Khandelwal, Surbhi; Family Medicine
Khanna, Robin; Psychiatry
Khera, Vikas; Critical Care Medicine, Internal Medicine
Kim, H.   Hyung; Cardiology, Internal Medicine
Kim, Simon Younghoon; Family Medicine, Internal Medicine
Kimacovich, Richard   Glenn; Family Medicine, Family Medicine (Emergency Medicine)
Kobylecky, Anna   Audrey; General Surgery
Kohli, Bharat Kumar; Family Medicine, FCFP - Family Medicine
Kotrec, Marian; Cardiology, Internal Medicine
Krause, Joel David; Emergency Medicine
Kumaran, Raghunath; Psychiatry
Lace de Almeida, Claudia; Pediatric Cardiology, Pediatrics
Lagrotteria, Danny   Domenic; Internal Medicine, Nephrology
Lagrotteria, David Marc; Anesthesiology
Lam, Joyce Nga Hei; Critical Care Medicine, Internal Medicine
Lamba, Jasmine Komal; Cardiology, Internal Medicine
Lee, Andrew Wai Yuen; Anesthesiology
Lee, Linda   May; Internal Medicine, Medical Oncology
Leibfried, Bryan   Lee; Family Medicine
Leonard, Blair   John Normand; Hematology, Internal Medicine
Leroux, Nathalie Catherine; Family Medicine
Levesque, Michael Anthony; Internal Medicine, Medical Oncology
Lewis, Kimberley Anne Beverly; Critical Care Medicine, Internal Medicine
Lewis, Maxine Anne; Psychiatry
Li, Katy Yi-Ting; Family Medicine
Lo, Shirley   May Ho May; Otolaryngology - Head and Neck Surgery
Luce, John Thomas
Lucey, William   Francis
Lynett, Christopher Patrick; Family Medicine
MacDonald, Heather Anne; Obstetrics and Gynecology
Mach, Zi Hymn; Internal Medicine
Machado, Melissa; Obstetrics and Gynecology
MacKenzie, Katelyn Jillian; Pediatrics
Mackett, Robert Laurence; Cardiology, Internal Medicine
Macmillan, James   Ian; General Surgery
Macmillan, Karen Diane; Obstetrics and Gynecology
MacTavish, Alison   Jean; Family Medicine
Maddison, Andre Ralph; General Internal Medicine, Internal Medicine
Maharaj, Neil; Internal Medicine, Respirology
Maida, Reem; Hematology, Internal Medicine
Makerewich, Leonard   Alexander; Otolaryngology - Head and Neck Surgery
Makken, Hilje Arendina; Pediatrics
Malcolm, William   Neil; Anesthesiology
Malhotra, Neel Singh; Gastroenterology, Internal Medicine
Mann, Rick Rachhpal Singh; Family Medicine, Family Medicine (Emergency Medicine)
Martin, David   Charles; Orthopedic Surgery
Marull, Jorge Manuel
Masnyk, Robert   Douglas; Orthopedic Surgery
Masood, Syed   Faraz; Internal Medicine
Mathews, Mary   Sindhu; Internal Medicine
Matteliano, Luigi Salvatore; Diagnostic Radiology
Mattia, Alicia Marie; Neurology
Mazmanian, Hagop Khatchadour; Urology
Mazzetti, Gavin Joseph; General Internal Medicine, Internal Medicine
Mazzetti, Gillian Anne; Endocrinology and Metabolism, Internal Medicine
McAuley, John Thomas; Family Medicine, Family Medicine (Emergency Medicine)
McCloy III, Robert Andrew; Orthopedic Surgery
McCormick, Charles   Clifford Kirkpatrick; Anesthesiology
McGarry, Patrick   John; Urology
