Abdel-Razek, Khaled Hussein; Obstetrics and Gynecology
Aggarwal, Ravinder Kumar; Family Medicine, Family Medicine (Emergency Medicine)
Aguilar, Karenina; Family Medicine
Ahmed, Itrat Tahira; Anatomical Pathology
Aitken, Alexander   Stewart; Internal Medicine
Al Mahroos, Mohammed Hassan M; General Surgery
Alexander, David John; Internal Medicine, Respirology
Alston, Lindsay Rebecca; Family Medicine
Anand, Nitasha; Gastroenterology, Internal Medicine
Aoki, Katherine Anne Aiyame; Family Medicine
Archer, Victoria Lane; Family Medicine
Armstrong, James   Gregory; Family Medicine
Aul, Ritu   Bhavreet; Medical Genetics and Genomics
Babcock, Lea   Janine; Family Medicine
Bailey, Mark Norman; Critical Care Medicine, Internal Medicine
Ball, Allison Laura; Gynecologic Oncology, Obstetrics and Gynecology
Ballagh, Robert   Hamilton; Otolaryngology - Head and Neck Surgery
Barker, Sarah   Jane; Pediatrics
Barnett, Aaron   Douglas Earl; Family Medicine, Family Medicine (Emergency Medicine)
Bauman, Nicholaus Leonard Laurence; General Surgery
Beaudry, Josianne Edith; Family Medicine
Beaulieu, Roland   George; Cardiology, Pediatrics
Beshir, Marian Gad El Rab Metry; Family Medicine
Bhatt, Devendra Shankerprasad; Internal Medicine
Bos, Derek Mathew; Urology
Brand, Christopher   Paul; Family Medicine
Bremer, Kimberly Nancy Margaret; Obstetrics and Gynecology
Brooks, Christopher   Philip; Anesthesiology, Critical Care Medicine
Cambridge, Mary   Jeanette; Family Medicine
Cambridge, Robert   Malcolm; Family Medicine
Campbell, James   Allan; General Surgery
Cancelliere, Laura Antoinette; Obstetrics and Gynecology
Cape, Hunter Robert; General Surgery
Carrigan, Svetlana Olegovna; Anatomical Pathology
Casault, David   Joseph Renald; Family Medicine
Catford, Erika Adele; Family Medicine
Chan, Chris Ching Wai; Critical Care Medicine, Internal Medicine, Respirology
Chang, Justues   Heng Hien; Orthopedic Surgery
Chang, Rebecca Megan; Family Medicine
Chaudhuri, Monica Mitra; General Surgery
Chawla, Anjana; Psychiatry
Collins, David   Christopher
Colpitts, Melanie Helena; Pediatrics
Coombs, Thomas George Cole; Family Medicine
Cooper, Joel Anthony; Vascular Surgery
Crawford, Gordon   Alexander; Orthopedic Surgery
Crewe, Shawn Gordon; Internal Medicine
