Aaron, Shawn   David; Internal Medicine, Respirology
Abdeen, Nishard Mohammed; Diagnostic Radiology
Abdelbary, Hesham Abdel Motey M; Orthopedic Surgery
Abdel-Galil, Ramzy; Anesthesiology, Family Medicine
Abdel-Razek, Omar Abdel-Zaher Kamal; Internal Medicine
Aboutouk, Dina; Anesthesiology
Abramenko, Heather   Margaret
Abtahi, Maryam; Ophthalmology
Abujrad, Hussein  Abdurrahman; Endocrinology and Metabolism, Internal Medicine
Acharya, Sanjay   Vipinchandra; Anesthesiology
Addleman-Frankel, Sarah; Family Medicine
Afshari-Azad, Nahid; Geriatric Medicine, Internal Medicine
Agapitos, Peter   Panagiotis; Ophthalmology
Agbi, Charles   Babatunde; Neurosurgery
Akbari, Ayub; Internal Medicine, Nephrology
Akter, Ripa; Geriatric Medicine, Internal Medicine
Al-Atassi, Talal; Cardiac Surgery
Al-Attar, Hyder Majed; Diagnostic Radiology
Alderbas, Sarah M Y J D J; Psychiatry
Alie, Tristan MacKay; Anesthesiology, Critical Care Medicine
Alisic, Sarika Amelia; Anesthesiology
Alkherayf, Fahad Abdulmohsen E; Neurosurgery
Allan, David Scott; Hematology, Internal Medicine
Allen, Murray William; Plastic Surgery
Alsaffar, Heytham   Kamil
Al-Saffar, Hussain Ali Abdulkarim; Otolaryngology - Head and Neck Surgery
Alvarez, Gonzalo   Gustavo; Internal Medicine, Respirology
Alzahrani, Mohammad Mesfer Mohammad; Orthopedic Surgery
Amankwah, Yaa   Obesebea Asamoa; Obstetrics and Gynecology
Amaratunga, Kanchana Rajindri; Infectious Diseases, Internal Medicine
Amaro, Justine Leslie; Family Medicine, Family Medicine (Emergency Medicine)
Amini, Zarlasht; Pediatrics
Amjadi, Kayvan; Internal Medicine, Respirology
Anderson, Josdalyne Lee; Family Medicine
Antochi, Ruxandra Mihaela; Psychiatry
Anton, Alison Janelle; Physical Medicine and Rehabilitation
Antoniak, Gregory   Peter; Otolaryngology - Head and Neck Surgery
Apte, Sameer; General Surgery, General Surgical Oncology
Arnaout, Amel; Endocrinology and Metabolism, Internal Medicine
Arnaout, Angel; General Surgery
Ascah, Kathryn   Joan; Cardiology, Internal Medicine
Asmis, Timothy Richard; Internal Medicine, Medical Oncology
Attwood, David   George; Psychiatry
Aubin, Mary   Susan Lee; Obstetrics and Gynecology
Auclair, Francois; Infectious Diseases, Internal Medicine
Aucoin, Sylvie   Denise; Anesthesiology
Austin, Michael   Arthur; Emergency Medicine
Aw, Andrew Ta Wei; Hematology, Internal Medicine
Aydin, Alper; Cardiology
Aydin, Sibel Zehra; Rheumatology
Baig, Kashif; Ophthalmology
Baines, Alexandra Sawczenko; Psychiatry
Baker, Kevin   Robert; Obstetrics and Gynecology
Bakewell, Francis William; Emergency Medicine
Balaa, Fady   Kamal; General Surgery
Bardell, Andrea   Lee; Psychiatry
Barnes, Christopher John; Family Medicine, Palliative Medicine
Barrett, Chantel Taryn; Neurology
Basran, Sukhjeewan   Kaur; Anesthesiology
Bastianelli, Francesco   Elio; Ophthalmology
Bayanati, Hamid; Diagnostic Radiology
Bayat, Muhammad   Ridwan Hoosen; Diagnostic Radiology
Bazarjani, Sadrollah Seifollahi; Nuclear Medicine
Beanlands, Rob Stewart Buzzicott; Cardiology, Internal Medicine
Beauchesne, Luc Michel; Cardiology, Internal Medicine
Beaule, Paul-Edgar; Orthopedic Surgery
Beaulieu, Joseph Andre Marc; Neurology
Beecker, Jennifer   Ruth; Dermatology, Family Medicine, Family Medicine (Emergency Medicine)
Behki, Rama   Rani; Ophthalmology
Belliveau, Michel   James-Rheal; Ophthalmology
Berdusco, Randa Lynn; Orthopedic Surgery
Berger, Pamela Sumiko; Obstetrics and Gynecology
Bhargava, Anuj; Ophthalmology
Bhatla, Rajiv; Psychiatry
Bhimji, Khadija; Family Medicine
Bielawska, Barbara; Gastroenterology, Internal Medicine
Billie, Christine; Family Medicine
Birnie, David Hugh; Cardiology
Bismil, Ramprasad; Psychiatry
Biyani, Mohan   Brijlal; Nephrology
Bjerre, Lise Marie; Family Medicine
Black, Amanda Yvonne; Obstetrics and Gynecology
Blackmer, Jeffrey Edwin; Physical Medicine and Rehabilitation
Blacquiere, Dylan   Paul Vincent; Neurology
Blew, Brian   Douglas Malcolm; Urology
Boekhoud, Jonathan Jozef Willem; Nuclear Medicine
Boet, Sylvain; Anesthesiology
Bonaparte, James Patrick; Otolaryngology - Head and Neck Surgery
Bonn, Gary   Elliott; Ophthalmology
Boodhwani, Munir; Cardiac Surgery
Borowy-Borowski, Paul George; Anatomical Pathology
Borsuk, Ronnie Ronald Mitchel; Plastic Surgery
