Aaron, Shawn   David; Internal Medicine, Respirology
Abdallah, Faraj   Wahib; Anesthesiology
Abdeen, Nishard Mohammed; Diagnostic Radiology
Abdelbary, Hesham Abdel Motey M; Orthopedic Surgery
Abdel-Galil, Ramzy; Anesthesiology, Family Medicine
Abdel-Razek, Omar Abdel-Zaher Kamal; Internal Medicine
Abou Khalil, Jad; General Surgery
Aboutouk, Dina; Anesthesiology
Abtahi, Maryam; Ophthalmology
Abujrad, Hussein  Abdurrahman; Endocrinology and Metabolism, Internal Medicine
Adamiak, Anna; Anatomical Pathology
Addleman-Frankel, Sarah; Family Medicine
Afshari-Azad, Nahid; Geriatric Medicine, Internal Medicine
Agapitos, Peter   Panagiotis; Ophthalmology
Agaybi, Samih Fawzi; Internal Medicine, Respirology
Agbi, Charles   Babatunde; Neurosurgery
Akbari, Ayub; Internal Medicine, Nephrology
Al-Attar, Hyder Majed; Diagnostic Radiology
Alavi-Tabari, Nika; Obstetrics and Gynecology
Alie, Tristan MacKay; Anesthesiology, Critical Care Medicine
Alisic, Sarika Amelia; Anesthesiology
Alkherayf, Fahad Abdulmohsen E; Neurosurgery
Allan, David Scott; Hematology, Internal Medicine
Al-Masri, Ahmad; Family Medicine
Al-Nourhji, Omar; Anatomical Pathology
Alsaffar, Heytham   Kamil
Al-Saffar, Hussain Ali Abdulkarim; Otolaryngology - Head and Neck Surgery
Altouri, Sultan Mohammed Hussain; Hematology, Internal Medicine
Alvarez, Gonzalo   Gustavo; Internal Medicine, Respirology
Alzahrani, Mohammad Mesfer Mohammad; Orthopedic Surgery
Amankwah, Yaa   Obesebea Asamoa; Obstetrics and Gynecology
Amaratunga, Kanchana Rajindri; Infectious Diseases, Internal Medicine
Amaro, Justine Leslie; Family Medicine, Family Medicine (Emergency Medicine)
Amini, Zarlasht; Pediatrics
Amjadi, Kayvan; Internal Medicine, Respirology
Angel, Jonathan   Benjamin; Infectious Diseases, Internal Medicine
Antochi, Ruxandra Mihaela; Psychiatry
Antoniak, Gregory   Peter; Otolaryngology - Head and Neck Surgery
Apte, Sameer; General Surgery, General Surgical Oncology
Arendas, Kristina; Obstetrics and Gynecology
Arjmandi, Azadeh; Family Medicine
Armour, Christine Marion; Medical Genetics and Genomics
Arnaout, Amel; Endocrinology and Metabolism, Internal Medicine
Arnaout, Angel; General Surgery
Asmis, Timothy Richard; Internal Medicine, Medical Oncology
Atkins, Harold   Lawrence; Internal Medicine
Attie, Catherine; Obstetrics and Gynecology
Aubin, Mary   Susan Lee; Obstetrics and Gynecology
Auclair, Francois; Infectious Diseases, Internal Medicine
Aucoin, Sylvie   Denise; Anesthesiology
Auer, Rebecca   Ann Craufurd; General Surgery
Austin, Michael   Arthur; Emergency Medicine
Aw, Andrew Ta Wei; Hematology, Internal Medicine
Awan, Arif Ali; Internal Medicine, Medical Oncology
Aydin, Alper; Cardiology
Aydin, Sibel Zehra; Rheumatology
Ayroud, Yasmine; Anatomical Pathology
Baig, Kashif; Ophthalmology
Baines, Alexandra Sawczenko; Psychiatry
Baker, Kevin   Robert; Obstetrics and Gynecology
