Abdelbary, Hesham Abdel Motey M; Orthopedic Surgery
Aboutouk, Dina; Anesthesiology
Abtahi, Maryam; Ophthalmology
Abujrad, Hussein  Abdurrahman; Endocrinology and Metabolism, Internal Medicine
Agapitos, Peter   Panagiotis; Ophthalmology
Agbi, Charles   Babatunde; Neurosurgery
Akbari, Ayub; Internal Medicine, Nephrology
Al Osaimi, Noura Matoug; Internal Medicine, Rheumatology
Al-Attar, Hyder Majed; Diagnostic Radiology
Al-Azem, Hafsah; Internal Medicine, Rheumatology
Alie, Tristan MacKay; Anesthesiology, Critical Care Medicine
Alisic, Sarika Amelia; Anesthesiology
Alkherayf, Fahad Abdulmohsen E; Neurosurgery
Allan, David Scott; Hematology, Internal Medicine
Alsaffar, Heytham   Kamil
Al-Saffar, Hussain Ali Abdulkarim; Otolaryngology - Head and Neck Surgery
Amankwah, Yaa   Obesebea Asamoa; Obstetrics and Gynecology
Antoniak, Gregory   Peter; Otolaryngology - Head and Neck Surgery
Apte, Sameer; General Surgery, General Surgical Oncology
Arendas, Kristina; Obstetrics and Gynecology
Arnaout, Amel; Endocrinology and Metabolism, Internal Medicine
Arnaout, Angel; General Surgery
Attie, Catherine; Obstetrics and Gynecology
Aubin, Mary   Susan Lee; Obstetrics and Gynecology
Aucoin, Sylvie   Denise; Anesthesiology
Aw, Andrew Ta Wei; Hematology, Internal Medicine
Aydin, Sibel Zehra; Rheumatology
Baig, Kashif; Ophthalmology
Baker, Kevin   Robert; Obstetrics and Gynecology
Balaa, Fady   Kamal; General Surgery
Baryla, Julia Grazyna; Ophthalmology
Bassel, Shauna; Family Medicine
Bastianelli, Francesco   Elio; Ophthalmology
Bastianelli, Paul Anthony Roy; Ophthalmology
Behki, Rama   Rani; Ophthalmology
Belliveau, Michel   James-Rheal; Ophthalmology
Berdusco, Randa Lynn; Orthopedic Surgery
Bhargava, Anuj; Ophthalmology
Bhatti, Adil; Ophthalmology
Bigue, Caroline
Billie, Christine; Family Medicine
Biyani, Mohan   Brijlal; Nephrology
Black, Amanda Yvonne; Obstetrics and Gynecology
Blake, Jennifer Mary; Obstetrics and Gynecology
Blew, Brian   Douglas Malcolm; Urology
Boekhoud, Jonathan Jozef Willem; Nuclear Medicine
Boet, Sylvain; Anesthesiology
Boisvenue, Marc
Bonaparte, James Patrick; Otolaryngology - Head and Neck Surgery
Bonin, Brigitte; Obstetrics and Gynecology
Bonn, Gary   Elliott; Ophthalmology
Boushey, Robin   Paul; General Surgery
Boyd, Kirsty   Usher; Plastic Surgery
Brandys, Timothy Michael; General Surgery, Vascular Surgery
Breau, Rodney   Henry; Urology
Britton, John   Robert; Ophthalmology
Britton, William Alan Arthur; Ophthalmology
Brown, Pierre   Antoine; Internal Medicine, Nephrology
Brownrigg, Peter Joseph; Otolaryngology - Head and Neck Surgery
Bryson, Gregory   Lyle; Anesthesiology
Bugeja, Ann   Leanor; Internal Medicine, Nephrology
Buhrmann, Ralf Reynir; Ophthalmology
Burns, Kevin   Donald; Internal Medicine, Nephrology
Buyukdere, Hakan; Hematological Pathology
Byford, Larry   James; Anesthesiology
Cabral, Antonio Rafael; Internal Medicine, Rheumatology
Cagiannos, Ilias; Urology
Callahan, Justine Elise; Family Medicine
Cameron, Daniel John; Family Medicine
Cameron, Donald William; Infectious Diseases, Internal Medicine
