Adel, Anoushirvan; Geriatric Psychiatry, Psychiatry
Afzal, Ibraheem Mohammad; Diagnostic Radiology
Aguilar, Hector Noel; Diagnostic Radiology
Ahee, Richard Elias Mose; Family Medicine
Alderbas, Sarah M Y J D J; Psychiatry
Aldis, Hugh   Warren; Diagnostic Radiology
Anjum, Mahraz; Internal Medicine, Medical Oncology
Ara, Shamim; Anatomical Pathology
Arcieri-Piersanti, Vincenzo; Family Medicine, Family Medicine (Emergency Medicine)
Arefeen, Samrana; Family Medicine
Armstrong, Judith   Anne; Family Medicine
Arsenault, Kyle Adam; Vascular Surgery
Arshad, Sana; Geriatric Medicine
Ashbourne, John   Fraser; Emergency Medicine
Asim, Muhammad; Pediatric Hematology/Oncology, Pediatrics
Atfield, Alexandre David; Family Medicine
Auyeung, Grace   Che Yan; Family Medicine
Bain, James Bruce; Family Medicine
Ball, Warren   Todd; Cardiology, Internal Medicine
Banglawala, Sarfaraz Mubarak; Otolaryngology - Head and Neck Surgery
Banihashemi, Sayed Behzad; Radiation Oncology
Banks, Brie Ann; General Surgery
Bartlett, Norman   Richard; Family Medicine, Family Medicine (Emergency Medicine)
Beamish, John   Joseph; Family Medicine
Beaubien, Eliot   Rene; Internal Medicine, Nephrology
Bechamp, Brenden Lloyd; Family Medicine
Belanger, Sara; Family Medicine
Bengough, Michael Norman; Anesthesiology
Berg, Gary   Richard; Family Medicine
Binette, Joseph   Richard Frederick; Family Medicine
Bishop, Gregory Mark; Critical Care Medicine, Internal Medicine
Black, Raymond; Family Medicine
Blake, Christopher William; Family Medicine
Blastorah, Bernard Joseph; Orthopedic Surgery
Blouin, Lucie   Marie
Bodie, Gregory   Alexander; General Surgery
Bonn, James Richard; Anesthesiology
Bourgeois, Daniel   Joseph; Diagnostic Radiology
Bowley, Lucas Alexander; Family Medicine
Boyce, Debra Elizabeth; Family Medicine
Boyer, Michael Edmond; Pediatrics
Brar, Deepinderjit   Singh
Braun, Ellyn Elizabeth; Family Medicine
Brien, Steven   Richard; Gastroenterology, Internal Medicine
Broomfield, Joel Alan Scott; Radiation Oncology
Brown, Jamie   Campbell; Critical Care Medicine, Internal Medicine
Burns, Brenda Ruth; Family Medicine
Butan, Radu; Internal Medicine, Nephrology
Cameron, Bruce   Charles; Family Medicine
Caraher, Brendan Arthur; Family Medicine
Carr, George   David Arthur; Family Medicine, Family Medicine (Emergency Medicine)
Caskey, Reynold Graham
Chambers, Reid William; Plastic Surgery
Chan, Benedict Shiu-Shing; Family Medicine
Chan, Michael Wing-Keung; Diagnostic Radiology
Chandhoke, Gursimran; Internal Medicine, Medical Oncology
Chandra, Mark   Jagdesh; Family Medicine, Family Medicine (Emergency Medicine)
Chawla, Bharat   Bhushan; Psychiatry
Cheung, Cindy Helen; Ophthalmology
Cheung, Vincent   Siu-Jean; Internal Medicine, Nephrology
Christie, Olivia Rose; Family Medicine
Chung, Jonathan Byung-Min; Diagnostic Radiology
Clouthier, Justin; General Surgery, Vascular Surgery
Coccimiglio, Angela Barbara; Family Medicine
Colbourne, Amy Janice; Psychiatry
Comerford, Thomas Arthur; Pediatrics
Conlin, Anne   Elizabeth; Otolaryngology - Head and Neck Surgery
Corbeil, Chloe Elizabeth; Family Medicine
Courtney, Susan   Dianne
Cox, Heather   Lynette; General Surgery, Vascular Surgery
Cozens, Karen Louise; Pediatrics
Crane, Jordan David Thomas; Family Medicine
Cunniffe, Aidan Magnus; Family Medicine, Family Medicine (Emergency Medicine)
Curtin, Kimberley Anne; Family Medicine
Dallaire, Christine; Obstetrics and Gynecology
Dallaire, Stephane Andre; Family Medicine, Family Medicine (Emergency Medicine)
Darling, Jennifer   Lee; Family Medicine, Family Medicine (Emergency Medicine)
De Francesco, Nicole Jennifer; Family Medicine, Family Medicine (Emergency Medicine)
Defoort, Ericka Nacole; Family Medicine
Dell, Rosemary; Family Medicine
Dickie, Andrew   John Dundas; General Surgery, Thoracic Surgery
Dickie, Margaret   Joanne; Family Medicine
Dillon, Kirk   Fitzgerald
Dixon, Peter Frederick; Radiation Oncology
Dobson, James   Crawford; Orthopedic Surgery
Dobyns, Jessica Laura; Family Medicine
Doucet, Katie Margaret; Cardiology, Internal Medicine
Drury, Kathryn   Jeanette; Family Medicine
Ebisuzaki, Lawrence   Kentaro; General Surgery
Edington, Robert   David; Anesthesiology
Eldridge, Karen-Lee; Family Medicine
El-Mallah, Medhat William Rezk Allah Hanna; Radiation Oncology
Elyas, Remon George; Diagnostic Radiology
Fadel, Marc; Child and Adolescent Psychiatry, Psychiatry
Fagan, John; Otolaryngology - Head and Neck Surgery
Fantus, Claire; Psychiatry
Farewell, John   Clarence; Psychiatry
Feroze, Nick  Gordon Pervez; Family Medicine
Ferracuti, Stephen Augustine
Ferrier, Charles   John Scott Andrew
Finlayson, Olga   Viktorovna; Neurology
Forbes, Leta Marie; Internal Medicine, Medical Oncology
Fraser, Michelle Aline; Family Medicine
Freeman, Christie Lorian; Family Medicine
Friesen, Dale   Cameron
Friesen, Jeffrey Cameron; Family Medicine
Friesen, Reinhard Heinrich; Family Medicine
Fuoco, Gabriel   Gianni Carlo; Otolaryngology - Head and Neck Surgery
Gandhi, Niket Vijay; Diagnostic Radiology
Garcia Yaya, Diana Esperanza; Family Medicine
Garneys, Glenn   Gordon; Diagnostic Radiology
Geloso, Corrado   Giuseppe; Anesthesiology
Gerster, Katherine Mary; Obstetrics and Gynecology
Ghatavi, Kayhan Reza; Psychiatry
Gibb, Graham Keith; General Surgery
Gibson, Michael; Family Medicine
Goldberg, Laurie   David; Anesthesiology
Gooderham, Melinda   Jennifer; Dermatology
Gow, Barbara Louise; Family Medicine
Grace, Richard Joseph Alexander; Plastic Surgery
Greiner, Karin   Louise; Family Medicine
Grieve, Geoffrey   Norman; Family Medicine
Grynspan, Jonathan; Diagnostic Radiology
Gulati, Meena; Psychiatry
Hall, David   Franklin; Anesthesiology
Hameed, Faiza; Internal Medicine
Hamilton, Scott   James; Otolaryngology - Head and Neck Surgery
Hanson, Garth   John; Internal Medicine, Nephrology
Hardy-Brown, Karolyn Wendy; Pediatrics
Harrington, Brian   David; Obstetrics and Gynecology
Hartleib, Michael Charles; Cardiology, Internal Medicine
Harvie, Sarah; Diagnostic Radiology
Hassan, Ahmed Jacob; Urology
Hazan, Aleah; Obstetrics and Gynecology
Heid, Robert   Dieter; Anesthesiology, Family Medicine
Heidman, Jaimi Gray; Family Medicine
Henderson, Carla Yvonne; Anesthesiology
Himann, Joan Elizabeth; Family Medicine
Hinkkala, Kaarlo Samuel; Internal Medicine, Nephrology
Hobbs, Cynthia   Anne; Geriatric Medicine, Internal Medicine
Hossain, Sajjid; Vascular Surgery
Houpt, Daniel Robin; Family Medicine
Hsu, Chia-Wen; Family Medicine
Hughes, Brendan   James; Family Medicine
Hughes, Peter   Lawrence; Pediatrics
Hurst, Janet Jane; Anesthesiology
Hurst, Jonathan David; Ophthalmology
Hutton, Robert   Frank; Anesthesiology
Ingram, Karen   Jennifer; Geriatric Medicine, Internal Medicine
Iqbal, Fawaad Omar; Radiation Oncology
Jackson, William   Bruce; Ophthalmology
Jamieson, Iain  Charles; Pediatrics
Jeffery, Anthony   John
Jeyabalan, Neera; Internal Medicine, Medical Oncology
Johnston, Basil William; Orthopedic Surgery
Jougheh Doust, Soghra; Medical Genetics and Genomics
Kammila, Srinu; Internal Medicine, Nephrology
Kathiravelu, Anusha; Family Medicine
Kathiravelu, Satheesh; Internal Medicine
Kessas, Mona; Internal Medicine
Khan, Sandra Marie; Family Medicine
King, Kebby Fame Geneeth; Diagnostic Radiology
Knutson, Christopher William; Cardiology
Koll, Wayne Alan Leo; Radiation Oncology
Kramer, Barry Nathan; Obstetrics and Gynecology
Krause, Katie Ellen-Nora; Geriatric Medicine, Internal Medicine
Kwan, Wing   Hong; Internal Medicine, Nuclear Medicine
Lainey, Allison; Family Medicine, Family Medicine (Emergency Medicine)
Laplante, Marie-Helene; Family Medicine
Lau, Michael   Chi-Kit; Anatomical Pathology, General Pathology
Laurence, Kelly Hayward; Anatomical Pathology
