Abaskharoun, Ramy   Rasmi Danial; Gastroenterology, Internal Medicine
Abdel-Galil, Ramzy; Anesthesiology, Family Medicine
Abdulla, Karim Ramzan; Anesthesiology
Abujrad, Hussein  Abdurrahman; Endocrinology and Metabolism, Internal Medicine
Acharya, Sanjay   Vipinchandra; Anesthesiology
Adams, Rachael Elizabeth; Family Medicine
Adea, Cynthia; Family Medicine
Akcakir, Berna; Family Medicine
Ali, Maria; Internal Medicine
Alie, Tristan MacKay; Anesthesiology, Critical Care Medicine
Alikhan, Qasim   Raza; Internal Medicine, Respirology
Anderson, Lucyna Janina; Obstetrics and Gynecology
Anton, Alison Janelle; Physical Medicine and Rehabilitation
Artman, Lise Nicole; Family Medicine
Aube, Marie; Critical Care Medicine, Emergency Medicine
Aubin, Jean-Michel Robert; General Surgery
Badenduck, Lucas Anthony; Family Medicine
Banihashemi, Sayed-Behnam; Cardiology, Internal Medicine
Barnes, Alison Gabrielle; Family Medicine
Bastien, Pascal; Internal Medicine
Becker, Lisa Michelle; Diagnostic Radiology
Bellack, Neil Robert; Family Medicine
Berbenetz, Nicolas Matthew; Cardiology, Internal Medicine
Berkman, Frances   Anne; Family Medicine
Beshara, Nasser   Roshdy; Obstetrics and Gynecology
Bhimji, Khadija; Family Medicine
Bienkowski, Peter; Orthopedic Surgery
Bigelow, Eric; General Surgery
Blakslee, James   Michael; General Surgery
Bodnarchuk, Kaylee Nicole; Psychiatry
Bolano Del Vecchio, Silvana Margarita; Gastroenterology, Internal Medicine
Bowles, Alan   Kenneth
Boyles, Peter   Thomas; Psychiatry
Bradi, Ana; Neurology
Brar, Balpreet Singh; General Surgery
Briscoe, Natalie   Kate; Neurology
Brockway, Wade   Frank Arthur; Family Medicine, Family Medicine (Emergency Medicine)
Bromley, Sandra Tricia; Anesthesiology
Brown, Christopher Waclaw; Orthopedic Surgery
Browne, Michael; Psychiatry
Bustani, Laith   Aasim; Family Medicine
Callaghan, William   Bryan; Plastic Surgery
Cao, Rui Lily; Diagnostic Radiology
Capello-Desjardins, Nancy   Jean; Family Medicine, Family Medicine (Emergency Medicine)
Carter, Kevin   Craig Albert
Carver, David Alexander; General Surgery
Centazzo, Sophie Isabelle; Diagnostic Radiology
Chadwick, Christopher   David John; General Surgery
Chamberlain, Wayne   Walter Wellington; Anesthesiology
Chan, Irene   Oi Lun; Family Medicine
Chan, Simon; Plastic Surgery
Chan, Stephanie Chung Yan; Ophthalmology
Chang, Lynn; Radiation Oncology
Chapman, Stephen Philip; Family Medicine, Family Medicine (Emergency Medicine)
Charania, Hanif; Family Medicine, Family Medicine (Emergency Medicine)
Charles, Marie   Muriel
Charles, Mark Nicholas; Orthopedic Surgery
Chase, Teena Darlene; Psychiatry
