Adamek, Tamara Leigh; Family Medicine
Ademidun, Aderinola David; Family Medicine
Ademidun, Aderotimi Olugbenga; Obstetrics and Gynecology
Agoston, Hanga; Family Medicine
Allen, Katherine Pauline; Family Medicine
Almadani, Mahmud Husin Mohamad; Pediatrics
Aloudat, Sarah Ibrahim Mnazel; Internal Medicine, Nephrology
Ames, Jeffrey Brian; General Internal Medicine, Internal Medicine
Armstrong, Mitchel Douglas; Orthopedic Surgery
Arya, Pradeep; Psychiatry
Azizy, Hogay; Family Medicine
Badowski, Marcin; Family Medicine, Family Medicine (Emergency Medicine)
Bardell, Trevor; General Surgery
Barette, Rene   Louis; Nuclear Medicine
Barnabi, Francesco; General Surgery
Bates, Amanda Margaret; Pediatrics
Bayat, Roain; Internal Medicine, Respirology
Beckwith, Shalea Joanne; Pediatrics
Bell, Allan Curtis; Family Medicine, Family Medicine (Emergency Medicine)
Bhan, Heather Elizabeth; Pediatrics
Bhan, Sasha Neal; Diagnostic Radiology
Biasutti, Nickolaus Alexander; Family Medicine
Biederman, Jessica Lee May; Diagnostic Radiology
Birchard, James   David; Orthopedic Surgery
Bolton, Craig   James; Family Medicine, Family Medicine (Emergency Medicine)
Bonacci, Giuseppe; Family Medicine
Borschneck, Daniel   Patrick; Orthopedic Surgery
Braig, Florian Gustav Adolf; Otolaryngology - Head and Neck Surgery
Brown, Ciara Eithne; Family Medicine
Brown, Marty Harold
Brown, Mitchell Spencer; Anesthesiology
Bruder, Eric   Alan; Emergency Medicine
Bryson, Julie Christine; Family Medicine
Campbell, Joseph Alfred Leslie John; Cardiology, Internal Medicine
Campbell, Thomas Alan; Urology
Cassidy, Kelsey Jane; Family Medicine, Family Medicine (Emergency Medicine)
Chanda, Melanie Nicole; Obstetrics and Gynecology
Chooback, Negar; Internal Medicine, Medical Oncology
Christie, Elizabeth Ann; Family Medicine
Clarke, Donald   Howard; Obstetrics and Gynecology
Cleminson, Douglas   Michael; General Surgery
Coady, John   Edward; Family Medicine
Colby, Joshua; Family Medicine, Family Medicine (Emergency Medicine)
Collins, Kenneth Mark; Family Medicine, Family Medicine (Emergency Medicine)
Courtland, Michael Raymond; Internal Medicine
Cupido, Tracy   Lynn; Anesthesiology
Curran, Scott Joseph; Cardiology, Internal Medicine
Danforth, Leonard   Roy Tag; Family Medicine
Davies, Andrew   Mark; Ophthalmology
Davies, Nina   Emma; General Surgery
Davis, Christopher; Internal Medicine, Respirology
De La Roche, Michael   Richmond Pierre; Family Medicine
de Metz, Catherine   Ellen; Radiation Oncology
Devins, Robert   Leslie
Dosaj, Arun   Kumar
Downey, Mathew Tindal; Diagnostic Radiology
Duchaine, Sylvain   Paul
Dullege, Suzanne   Marie; Family Medicine
Dyer, Brittany Marie; Family Medicine
Ellis, Peter   Mills; Neurosurgery
Ellsworth, Julie Caroline; Obstetrics and Gynecology
Engen, Dale   Anundo; Anesthesiology
Erb, Jason Wayne; Anesthesiology, Critical Care Medicine
Falconer, Erin Florence Eleanor; Family Medicine
Falkson, Conrad   Bif; Radiation Oncology
Faris, Matthew Weir; Physical Medicine and Rehabilitation
Fell, Bryn Anthony; Critical Care Medicine, Internal Medicine
Feltham, Ian Charles; Family Medicine
Ferdinand, Jae-Marie   Denise; Pediatrics
Filteau, Jacqueline Nanette Cuddy; Pediatrics
Fitzpatrick, Ryan Milton; Urology
Forbes, Andrew John; Family Medicine
French, John   Allan
Froats, Mark Robin Landon; Emergency Medicine
Gammal, Nadia Therese; Diagnostic Radiology
Ganjizadeh Zavareh, Farahnaz Ganjizadeh
Ghazan-Shahi, Sassan; Internal Medicine, Nephrology
Gibson, John Malcolm Stirling; Anesthesiology
Goetz, Catherine   Jean; Anatomical Pathology
Graitson, Samantha Rae; Family Medicine
Grant, Brian   Robert; Anesthesiology
Grant, Frederick   Curry; Cardiology, Internal Medicine
Gregoire, Keith   Ronald; Pediatrics
Grieve-Eglin, Leandra   Helena; Internal Medicine
Guan, Meng; Urology
Guppy, Barry   Robert; Neurology
Hall, Ryan  William; Family Medicine, Family Medicine (Emergency Medicine)
Hamilton, John   Gerard; Family Medicine
Hammond, Matthew Douglas; Family Medicine
Hanna, Christine; Family Medicine, Family Medicine (Emergency Medicine)
Harrington, Katy Alison; Family Medicine
Harrison, Mariam Nabil; Internal Medicine, Respirology
Hart, Corban Robert Bryson; Family Medicine
Hayman, Christopher Ronald; Family Medicine
Heffernan, Paul Michael; Critical Care Medicine, Internal Medicine, Respirology
Hobbs, Hailey Anne; Critical Care Medicine, Internal Medicine
Hoffe, Sharleen Natasha; Emergency Medicine
Holder, Chanse Lee; Family Medicine
Hollett, Peter   Malcolm; Cardiology, Internal Medicine
Holowaty, Melissa   Nicolle; Family Medicine
Holt, Craig Michael; Critical Care Medicine, Internal Medicine
Howatt, Kerry Dawn; Obstetrics and Gynecology
Howatt, Mackenzie; Emergency Medicine
Huynh, Sandra Vo Bao Linh; Family Medicine
Iliescu, Eduard   Andrei; Internal Medicine, Nephrology
Istead, Jannice Margaret
James, Susan   Helen; Diagnostic Radiology
Jamil, Khalid; Internal Medicine
Johnson, Heather Nicole; Internal Medicine
KAFKA, HENRYK  Peter; Cardiology, Internal Medicine
Kahn, Michael Khubbab; Anesthesiology, Critical Care Medicine, Family Medicine, Family Medicine (Emergency Medicine)
Kamphuis, Andrew Ashton; Family Medicine
Kankesan, Janarthanan; Internal Medicine, Medical Oncology
Karmally, Jennifer Megan; Family Medicine
Kawam, Michael   Philip; Orthopedic Surgery
Keila, Parambir Singh; Family Medicine
Khare, Suneeta Dhananjay; General Pathology
King, Nicole  Catherine; Anesthesiology
Knarr, Nadia   Kristine; Family Medicine
Kovacs, David Paul Robert; Obstetrics and Gynecology
Krol, Karmen Michael; Anesthesiology
Lachapelle, Kevin   Robert; Ophthalmology
Ladouceur, Jessica; Family Medicine
