Abdulrahman, Abdulqadir Mohamed; Anesthesiology
Abulhamayel, Ahmed Mohammed A; Cardiology, Internal Medicine
Abuzar, Madiha; Internal Medicine
Adare, Kaitlyn   Elizabeth; Obstetrics and Gynecology
Aguilar, Hector Noel; Diagnostic Radiology
Aitken, Alexander   Stewart; Internal Medicine
Akhtar, Waseem; Family Medicine
Ali, Kevin   Fareez; Family Medicine
Ali, Liaqat; Psychiatry
Ames, Jeffrey Brian; General Internal Medicine, Internal Medicine
Andersen, Lee Kelly; Family Medicine
Andrawes, Maged   Samir Mettry; Anesthesiology, Pain Medicine
Armstrong, Kathryn Genevieve Wall; Emergency Medicine
Armstrong, Thomas   Michael
Atapattu, Vidura Indika; Family Medicine
Aubrey, Michael   Eric; Internal Medicine, Rheumatology
Aul, Ritu   Bhavreet; Medical Genetics and Genomics
Austgarden, Douglas Allen; Emergency Medicine
Azizi, Behrooz; Ophthalmology
Baerlocher, Mark Otto; Diagnostic Radiology
Baldauf, Christian   Gerd Gotthard; Diagnostic Radiology
Ball, Allison Laura; Gynecologic Oncology, Obstetrics and Gynecology
Ballagh, Robert   Hamilton; Otolaryngology - Head and Neck Surgery
Barnett, Carmen   Elyse; General Surgery
Bayat, Muhammad   Ridwan Hoosen; Diagnostic Radiology
Bazzarelli, Amy Kathleen; General Surgery
Beaudry, Josianne Edith; Family Medicine
Beaulieu, Roland   George; Cardiology, Pediatrics
Bedard, Andre   Valentin; Family Medicine
Belau, Marianne Ruth; Family Medicine
Benjamin, Derek Scott; Internal Medicine, Nephrology
Bennett, John   Douglas; Diagnostic Radiology
Bird, Jeffery Robert; Diagnostic Radiology
Bond, Geoffrey Hubert; Family Medicine
Borchuk, Michael Charles; Family Medicine
Boushy, David; Family Medicine, Family Medicine (Emergency Medicine)
Boyd, Alyssa Robinson; Family Medicine
Brooks, Christopher   Philip; Anesthesiology, Critical Care Medicine
Brown, Lukas Benjamin; Anesthesiology
Browning, Andrew Don; Obstetrics and Gynecology
Burt, Benjamin  Edward; Family Medicine
Butt, Atif Rasul; Family Medicine, Family Medicine (Emergency Medicine)
Cantor, Warren; Cardiology, Internal Medicine
Carroll, David Michael; Anesthesiology
Casses, Alberto; Orthopedic Surgery
Chackery, Rosemary Crystal; Psychiatry
Chan, Emily Heather; Anesthesiology
Chan, Vanessa   Pek Shun; Internal Medicine
Chaudhry, Shamsuddin; Family Medicine, Family Medicine (Emergency Medicine)
Chaudhuri, Monica Mitra; General Surgery
Chen, Shin-Yee; Cardiology, Internal Medicine
Chen, William Chung Yung
Chisholm, James Douglas; Emergency Medicine
Chou, Sheila; Diagnostic Radiology
Clark, Carl   Ivan; Family Medicine
Cluff, Alanna Heather; Family Medicine
Cohen, Cindi   Lee; Family Medicine
Conway, Jessica Leah; Radiation Oncology
Cooper, Joel Anthony; Vascular Surgery
Coret, Alexander; Diagnostic Radiology
Corriveau, Nathalie; Psychiatry
Cousineau, Natalie Janine; Family Medicine
Crabbe, Lindsay Anne; Gastroenterology, Internal Medicine
Crawford, Charles   Douglas; Anesthesiology
Crawford, Gordon   Alexander; Orthopedic Surgery
Danyluk, Angie; Forensic Psychiatry, Psychiatry
Darvesh, Jawid; Geriatric Medicine, Internal Medicine
Dauphinee, Peter Alan; General Surgery
Davidson, Cara Elizabeth; Pediatrics
D'Costa, Darryl Ian
De Villiers, Jean Pierre; Diagnostic Radiology
Deboer-Fennell, Heidi Lauren; Family Medicine
Debono, Alaine   Marie; Family Medicine
Delaney, James   Paul; Orthopedic Surgery
Di Diodato, Giulio; Internal Medicine
Di Stefano, Joseph Matthew; Family Medicine
Dibble, Bradley Jon; Cardiology, Internal Medicine
Dickie, Kenneth   Earle; Plastic Surgery
Dickson, Alexander Ackerman; Family Medicine
Dickson, Colin   Andrew
Donovan, Andrea; Diagnostic Radiology
Douglas, Stuart Lawrence; Critical Care Medicine, Emergency Medicine
Ducas, Anne Athena; General Surgery, Vascular Surgery
DuVall, Anne   Helena Itkonen; Family Medicine
Ellison, Erin; Anatomical Pathology
El-Maraghi, Robert   Hassan; Internal Medicine, Medical Oncology
Elsey, Brent   Norman
Emerson, Kelly   Jane; Family Medicine
Emon, Steven Joseph; Ophthalmology
Eskandar, Sherif   Nagui Fayek; Anesthesiology
Fejes, Piroska   Rozsa; Family Medicine
Feldman, Michael   Jacob; Emergency Medicine
Ferguson, Carrie Anne; Obstetrics and Gynecology
Fiddler, Alyssa Brianne; Neurology
Fiddler, Douglas   Ralph
Fischer, Krista Lynn; Family Medicine
Foell, Kirsten Adrienne; Urology
Follwell, Matthew John; Radiation Oncology
Forghani, Reza; Diagnostic Radiology
Fortinsky, Kyle Joshua; Gastroenterology, Internal Medicine
Friday, Sarah   Elizabeth Mary; Emergency Medicine
Fruchter, Lauren   Lidia; Family Medicine
Fulton, Tanya Lee; Family Medicine
