Adebowale, Akinade Oluseyi; Psychiatry
Adegbenro, Adewale Kabir; Obstetrics and Gynecology
Alhendi, Alaa  Abdulaziz A; Internal Medicine, Nephrology
Allen, Stephen MacLeod; General Surgery
Amhalhal, Ismeil Moammar Alkantari; Cardiology, Internal Medicine
Amimi, Myriam   Nadia; Obstetrics and Gynecology
Antoine, Louis Bernard; Psychiatry
Anyogu, Uchenna   Gabriel; Psychiatry
Apostle, Nicole Alexandra; Family Medicine
Ayuen, Kim Lin; Family Medicine
Aziz, Anis; Urology
Baath, Kulrajbir Singh; Gastroenterology, Internal Medicine
Baath, Sahebjot Kaur; Family Medicine
babik, karam; Obstetrics and Gynecology
Bagai, Akshay; Cardiology, Internal Medicine
Bakar, Shahrukh Nazrul; Cardiology, Internal Medicine
Barbeau, Brynlea   Jae; Family Medicine
Bariciak, Mark   David; Ophthalmology
Battel, Luigi   Anthony; Family Medicine
Bazzarelli, Amy Kathleen; General Surgery
Beduhn, Eitel Erich Reinhold
Beduhn, John William Alfred; Family Medicine
Beduhn, Marianne Elise; Family Medicine
Ben Musa, Sirajeddin Awad Abdulmatloub; Gastroenterology, Internal Medicine
Benedek, Linda Joyce; Family Medicine
Berg, Gregory Mark Alexander; Internal Medicine, Respirology
Berry, William Arthur David; Internal Medicine, Nephrology
Best, Timothy John; Plastic Surgery
Betts, Martin   Edward; Critical Care Medicine, Internal Medicine
Bignell, Douglas   Cyril; Gastroenterology, Internal Medicine
Bishop, James   Jonathan; Family Medicine
Bodnar, Michael   Larry; Family Medicine
Bolduc, Norma Christine; Family Medicine
Bondar, Steven   Michael
Bonder, Lauren Heather Levin; Family Medicine
Bonin, Denis   Maurice; General Pathology
Booth, Karen   Lynne; Family Medicine, Family Medicine (Emergency Medicine)
Boseovski, James; Internal Medicine
Bouchard, Patricia; Family Medicine
Bowen, Julie Lynn; Radiation Oncology
Bowen, Nadia Anne; Family Medicine
Bragaglia, Pauline Janette
Bruni, Christopher   Arthur; Family Medicine
