Abdelrazek, Nermean Mahmoud; Obstetrics and Gynecology
Abdulhussein, Rahim; Family Medicine
Abramovitch, Allan; Urology
Abramowitz, Daniel; Colorectal Surgery, General Surgery
Abughaduma, Read Mohamed Ali; Orthopedic Surgery
Adler, Adam Jay; Emergency Medicine
Agarwal, Seema; Family Medicine
Agarwal, Vikas; Diagnostic Radiology, Family Medicine
Ahmed, Mohamed Shalabi Ali Eldeen; Pediatrics
Aitken, Alexander   Stewart; Internal Medicine
Akbarali, Nurjehan; Family Medicine
Al Sawi, Mohamed Ali Mahmoud; Internal Medicine, Nephrology
Ali, Pervez   Syed; Orthopedic Surgery
Ali, Vasima   Ashraf
Alvi, Mansour   Isalou; Orthopedic Surgery
Amin, Shubarna; Internal Medicine
Aminazadeh, Nasser; General Surgery
Anand, Sumeet   Mohan; Otolaryngology - Head and Neck Surgery
Aneja, Ambika; Obstetrics and Gynecology
Ansari, Saira; Anatomical Pathology
Arulchelvam, Pradeepan Ravichandran; Family Medicine
Aziza, Jonathan; Diagnostic Radiology
Azoubel, Gustavo  Alberto Paes; General Surgery, Vascular Surgery
Azzopardi, Peter   John; Pediatrics
Baghdadlian, Hovsep; Infectious Diseases, Internal Medicine, Medical Microbiology
Bahri, Amika; Family Medicine
Bai, Helin Daniel; Diagnostic Radiology
Bajaj, Girish; Gastroenterology, Internal Medicine
Balakrishnan, Sadhana Lakshmi; Pediatrics
Barnwell, Donna   Marie; Obstetrics and Gynecology
Barrett, Kali Alyssa; Critical Care Medicine, Internal Medicine
Barsky, Stephen   Abram; Psychiatry
Bay, Ariel Michael; Critical Care Medicine, Internal Medicine
Beaulieu, Roland   George; Cardiology, Pediatrics
Becker, Taryn; Endocrinology and Metabolism, Internal Medicine
Behzadi, Abdollah; General Surgery, Thoracic Surgery
Behzadi, Arian; Psychiatry
Beintema, Christena Shirley
Bejaimal, Shayna Amrita Devi; Internal Medicine
Belanger, Anais Lachance; Family Medicine, Family Medicine (Emergency Medicine)
Bell, Stuart   David; Diagnostic Radiology
Bendago, Mansour   Mustafa; Plastic Surgery
Benlolo, Samantha Rebecca; Obstetrics and Gynecology
Betts, Martin   Edward; Critical Care Medicine, Internal Medicine
Bierbrier, Gordon Stanley; Gastroenterology, Internal Medicine
Bing-Wo, Sandra   Elaine; Family Medicine
Birman, Harry; Internal Medicine, Respirology
Bisset, Lindsay   Jae; Family Medicine
Blaichman, Jason Ian; Diagnostic Radiology
Bongard, Alexandra   Frances; Family Medicine
