Al Saadi, Naba; Family Medicine
Aleksic, Mila; Family Medicine
Appavoo, Samuel   Devadason; Family Medicine, Family Medicine (Emergency Medicine)
Bakovic, Linda Janina; Pediatrics
Balderson, Jeff  Owen; Family Medicine
Bell, Justin John; Family Medicine
Bezanson, Kevin   Douglas Zacharias; Family Medicine
Bhatia, Rajni; Family Medicine
Boake, Armour   Isaac; Internal Medicine, Nephrology
Bocking, Natalie Dixon; Family Medicine, Public Health and Preventive Medicine
Bollinger, Megan Loren; Family Medicine
Bowerman, Brian   Douglas
Bozinoff, Nikki; Family Medicine
Braunberger, Peter   Grahame; Psychiatry
Briggs, Kaleigh Teresa; Family Medicine
Bryan, Susan Carol
Butt, Usne Josiah; Family Medicine
Cameron, Lita Ubluriaq Wegadusk; Family Medicine
Canu, Lara; Family Medicine
Carlisle, Maxine   Alexis; Family Medicine
Carlson, Robert Frederick
Caron, Julie Nicole; Family Medicine
Chan, Adrien; Internal Medicine, Medical Oncology
Chan, Matthew Isaiah; Family Medicine
Chase, Claudette; Family Medicine, FCFP - Family Medicine
Chaudhuri, Monica Mitra; General Surgery
Chernick, Elisheva   Hava
Cirone, Sharon   Louise; Family Medicine, Family Medicine (Emergency Medicine)
Cooke, Robert   Grahame; Psychiatry
Corso, Zachary Thomas; Family Medicine
Coulombe, Rene Charles; Family Medicine, Family Medicine (Emergency Medicine)
Coupland, Ronald   Steven; Family Medicine
de Kok, Steffen Thomas; Family Medicine
Dineen, Sarah Marie; Pediatrics
Dooley, Joseph   Patrick Anthony; Family Medicine
Dossa, Fahreen   Aziz
Douglas, Lloyd   Kenneth; Family Medicine, Public Health and Preventive Medicine
Duffy, Brenna Marie; Family Medicine
Edwards, Christine Priscilla; Family Medicine
England, Mary Catherine; Family Medicine
Farrell, Theresa   Mary; Family Medicine
Fiddler, Jonathan Frederick; Family Medicine
Folk, David   Martin; Family Medicine, FCFP - Family Medicine
Fotheringham, John   Morson; Family Medicine
Fry, Joanne   Lisa; Family Medicine
Gamble, David Gregory; Infectious Diseases, Internal Medicine
Gerber Finn, Lianne   Michelle; Family Medicine
Giles, Christopher   Arthur; Family Medicine
Glenn, John   William; Family Medicine
Goguen, Denis; Anesthesiology
Goldstein, Benjamin David Ofer; Family Medicine
Goodmurphy, Matthew John; Family Medicine
Guilfoyle, Francis   John; Family Medicine
Gwyn, Alice Bond Jermy; Family Medicine
Hagerty, Marlon Luke; Radiation Oncology
Haggarty, John   Michael; Psychiatry
Haider, Ehsan   Ahmed Hussain; Diagnostic Radiology
Hamlin-Douglas, Lauren Kay; Family Medicine
Hancock, Lindsay Erin
Henry, Heather Leslie; Family Medicine
Hsu, Helen Han-Ning; Family Medicine
Hull, Margaret Atherton; Family Medicine, Family Medicine (Emergency Medicine)
Hummelen, Reinder Benjamin Sipho; Family Medicine
Hunter, Kimberly Anne; Family Medicine
Ingves, Matthew Victor; Vascular Surgery
Jakubovicz, Difat   Esther; Family Medicine, FCFP - Family Medicine
Jakubow, Andre   Nicholas; Family Medicine
Jerome, David Kenneth; Family Medicine
Johnston, Mary   Elizabeth; Family Medicine, Family Medicine (Emergency Medicine)
Jumah, Naana   Afua; Obstetrics and Gynecology
Kakekagumick, Kara Elizabeth; Family Medicine
Kilbertus, Frances  Teresa; Family Medicine
Kirlew, Michael   Livingstone; Family Medicine
Koval, Marilyn   Rose; Family Medicine
Krishnamurthy, Ashok Bellur; Family Medicine
Laakso, Heather Dawn; Family Medicine
Laakso, Laurel Lynn; Family Medicine
Labelle, Alexandre; Family Medicine
Labelle, Magdalena Anna; Family Medicine
Langer, Benjamin Jared; Family Medicine
Le Francois, Tina   Irene; Orthopedic Surgery
Lennox, Harriet   Anne; Family Medicine
Letkemann, Kathryn Lisa; Family Medicine
Lewis, Dorothy Brianne; Obstetrics and Gynecology
Li, David   Kenny; Family Medicine, Family Medicine
Lin, Vincent   Yu-Wen; Otolaryngology - Head and Neck Surgery
Lorbetskie, Brian Paul; Family Medicine
Ma, Vivian Chia Hung; Family Medicine
MacDonald, Alistair   Richard; Family Medicine
MacDonald, James Kerry; Anatomical Pathology, General Pathology
Macdonald, Kathryn   Jean; Psychiatry
MacKay, Jennifer   Susan; Family Medicine
MacRory, Ciara Pauline; Family Medicine
Madden, Sharen   Nancy; Family Medicine
Malcolm, Kristin  Marie; Family Medicine
Malik, Ayesha; Family Medicine
Manchester, Lucy Frayne Duval; Family Medicine
Marsh, David   Clarence Charles
