Abu Rafea, Basim   Fouad A; Obstetrics and Gynecology
Agrawal, Sumit Kishore; Otolaryngology - Head and Neck Surgery
Aguanno, Alaina F; Family Medicine
Ahmad, Mohamad; Anesthesiology
Ahmed, Syed   Tariq; Pediatrics
Ainsworth, Peter Joseph; Medical Biochemistry
Akincioglu, Cigdem; Nuclear Medicine
Alam, Muhammad Mumtaz; Family Medicine
Al-Areibi, Arif Ramadane Abdullah; Anesthesiology
Alhendi, Alaa  Abdulaziz A; Internal Medicine, Nephrology
Alkhattabi, Maan Sadaqa M; Gastroenterology, Internal Medicine
Allen, Julie Katherine; Family Medicine
Allen, Larry   Hugh; Ophthalmology
Amann, Justin Hugo; Diagnostic Radiology
Amin, Muhammad; Family Medicine
Anderson, Matthew Frederick; Ophthalmology
Anderson, Scott   Bruce; Emergency Medicine
Antiperovitch, Pavel; Cardiology, Internal Medicine
Antoniou, Andreas  Vasilios; Anesthesiology
Appleton, Andrew James Edward; General Internal Medicine, Internal Medicine
Appleton, Christopher Thomas George; Internal Medicine, Rheumatology
Appleton, Sarah Elizabeth; Plastic Surgery
Arif, Ragdah Hussain M; Internal Medicine, Respirology
Armstrong, Christopher Edward; Anatomical Pathology
Armstrong, Kevin   Paul James; Anesthesiology
Armstrong, Paidrig Michael Joseph; Anesthesiology
Arntfield, Robert   Thomas; Critical Care Medicine, Emergency Medicine
Athwal, George Ghanaya Singh; Orthopedic Surgery
Bainbridge, Daniel Tom; Anesthesiology
Ball, Ian   Michael; Critical Care Medicine, Emergency Medicine
Barra, Lillian   De Jesus Jeremias; Internal Medicine, Rheumatology
Basharat, Pari; Internal Medicine, Rheumatology
Batohi, Pravin; Anesthesiology
Bauld Giffin, Dawn Leanne; Emergency Medicine
Bauman, Glenn  Stewart; Radiation Oncology
Beaton, Melanie   Dawn; Gastroenterology, Internal Medicine
Behme, Nancy   Ann; Family Medicine
Beletsky, Vadim; Psychiatry
Bellingham, Geoff   Alexander; Anesthesiology, Pain Medicine
Berard, Roberta   Audrey; Pediatrics, Rheumatology
Berberich, Amanda Jean; Endocrinology and Metabolism, Internal Medicine
Beretta, Rachel Marriott; Family Medicine
Bergin, Margaret Lynn; Cardiology, Internal Medicine
Bertrand, Monique   Adele Marie; Obstetrics and Gynecology
Bhaduri, Mousumi Samar; Diagnostic Radiology
Bhanji, Tania; Family Medicine
Bhayana, Bhooma; Family Medicine
Bhimani, Munsif   Ali; Family Medicine, Family Medicine (Emergency Medicine)
Bigham, Gerald   Louis
Biswas, Abhijit; Anesthesiology
Bjazevic, Jennifer Marlene; Urology
Bondy, Lise Catherine; Infectious Diseases, Internal Medicine
Borger, Jonathan Ronald; Anesthesiology, Critical Care Medicine
Borrie, Michael   John; Geriatric Medicine, Internal Medicine
Bosma, Karen Joy; Internal Medicine, Respirology
Boughner, Derek Richard; Internal Medicine
Boulton, Melfort   Richard; Neurosurgery
Boyd, Tristan Alexander; Internal Medicine, Rheumatology
Brackstone, Muriel; General Surgery
Brahm, Gary   Lee; Diagnostic Radiology
