Abdallah, Amel; Family Medicine
Abdel-Hamid, Mohamed Nabile; Otolaryngology - Head and Neck Surgery
Abdurrahman, Mariam Bolade; Psychiatry
Abouelnasr, Wahid   Aly; Psychiatry
Abu-Bakare, Asiru; Endocrinology and Metabolism, Internal Medicine
Acedillo, Rey Roman; Internal Medicine, Nephrology
Addison, Kirsten Mya Lynn; Family Medicine
Adirim, Jamey Brandon; Psychiatry
Adunuri, Nikesh Reddy; Internal Medicine
Affleck, Andrew   William; Family Medicine, Family Medicine (Emergency Medicine)
Agostino, Kevin David; Family Medicine
Ahmed, Syed Zaki; Critical Care Medicine, Internal Medicine
Alallam, Alallam   Aboubaker; Gastroenterology, Internal Medicine
Alaref, Amer Aref; Diagnostic Radiology
Al-Katari, Mohammad Sami Khalil; Hematology, Internal Medicine
Allain, Suzanne Marguerite; Psychiatry
Allison, Roy Christopher
Almond, Richard   George; Family Medicine
Amhalhal, Ismeil Moammar Alkantari; Cardiology, Internal Medicine
Amlani, Salima; Internal Medicine, Respirology
Anderson, William   Daniel; Critical Care Medicine, Internal Medicine, Respirology
Anthes, David   Lorne; Family Medicine
Anthes, Margaret   Lyn; Radiation Oncology
Apriasz, Izabela; General Surgery
Armstrong, Barry   Donald; General Surgery
Arora, Samantha Aditi; Critical Care Medicine, Internal Medicine
Aseyev, Olexiy Igorovych; Medical Oncology
Atwood, Jennifer   Adriana; Family Medicine
Awoniyi, Olusola Omolara Titilayo; Psychiatry
Azad, Madhu   Sanjay; Family Medicine
Azad, Sanjay Mahendra; Plastic Surgery
Baboolal, Ranjit   Terence; Pediatrics
Bacher, Adrienne Sonia; Internal Medicine, Rheumatology
Badalato, Lauren Dawn; Medical Genetics and Genomics
Badio, Sandrine; Family Medicine
Badiwala, Mitesh   Vallabh; Cardiac Surgery
Bagherli, Alireza; Cardiology, Family Medicine, Family Medicine (Emergency Medicine), Internal Medicine
Baho, Olivier; Orthopedic Surgery
Bakar, Shahrukh Nazrul; Cardiology, Internal Medicine
Bakovic, Linda Janina; Pediatrics
