Abdel-Malik Ghali, Rafik Ramzy; General Surgery
Abdulrahman, Abdulqadir Mohamed; Anesthesiology
Adeponle, Ademola Bernard; Psychiatry
Adesanya, Augustine Tunde; Internal Medicine
Akintan, Olabode Olanrewaju; Psychiatry
Al Maawali, Ali Abdullah Ali; Pediatrics
Alexander, Meaghan Elizabeth; Family Medicine
Al-Sukhni, Eisar; General Surgery, General Surgical Oncology
Ansari, Dominic Omar; Pediatrics
Anton, Alison Janelle; Physical Medicine and Rehabilitation
Armstrong, Karen   Lea; Family Medicine
Armstrong, Paul   David; Family Medicine
Arnold, Douglas   John; Family Medicine
Asim, Muhammad; Pediatric Hematology/Oncology, Pediatrics
Aubin, Jean-Michel Robert; General Surgery
Auger, Julie   Rachel; Family Medicine
Awoniyi, Olubunmi   Alaba; Psychiatry
Awoniyi, Olusola Omolara Titilayo; Psychiatry
Awwad, Bahaa El Dine Hassan Loutfi; Obstetrics and Gynecology
Badawi, Abdelrahman Kha.Ahmed; Orthopedic Surgery
Ballou, Eloise; Psychiatry
Barboza, Milan Kumar; Internal Medicine
Barker, Lucy Church; Psychiatry
Bates, Christa   Carol; Family Medicine
Bathini, Varunkumar; Urology
Beauvais, Nicole Lee; Family Medicine
Bernardi, Jaclyn   Christine; Obstetrics and Gynecology
Bertrand, Camille; Family Medicine, Family Medicine (Emergency Medicine)
Bos, Derek Mathew; Urology
Boucher, Daniel Aaron; Internal Medicine
Brain, Daryl   Andrew; Family Medicine
Brook, Shelley Carolyn; Psychiatry
Buba, Melanie Adriana; Pediatrics
Bukhanov, Karina; Diagnostic Radiology
butt, zulfiqar  Ali; Urology
Carette, Simon; Internal Medicine, Rheumatology
Carr, Paul   Aaron; Family Medicine
Catton, Lianne Letitia; Family Medicine, Family Medicine (Emergency Medicine)
Champion, Gerard; Family Medicine
Cheok, Andy   San; Psychiatry
Chisholm, John   Alfred; Family Medicine
Ciccone, Mario Vincenzo; Family Medicine, Family Medicine (Emergency Medicine)
Clark, Kenneth Christopher; Family Medicine
Cohen, Stephen   Gershen; Family Medicine
Cohen, Steven Neill; Psychiatry
Coholic, Andrea   Ann; Family Medicine
Cossar, Kathryn Elizabeth; Obstetrics and Gynecology
Cote, Jean; Family Medicine
Coutts, Stephen Michael
Critchley, Patrick   Philip; Family Medicine
Davidson, Ellen Chloe McInnes; Pediatrics
Dehghan, Niloofar; Orthopedic Surgery
Deketele, Anthony   Gabriel; Internal Medicine
DiTullio, Sonia Maria; Family Medicine
Done, Susan Jane; Anatomical Pathology
