Abd Halim, Siti  Rasyidah; Psychiatry
Abdul Hadi, Deema Sameer Omar; Family Medicine
Abunaji, Mohamed   Abdusalam; Neurology
Ade-Conde, Omotola   Ibitayo Laura; Psychiatry
Adesanya, Arinola   Oluwatoyin; Hematological Pathology, Internal Medicine
Agarwal, Shashi
Aggarwal, Sandeep K; Family Medicine
Ahmad, Afzal; Diagnostic Radiology
Ahmed, Iqbal   Karim; Ophthalmology
Ahmed, Liban; Anesthesiology
Ahmed, Mohammed Sayeed; Psychiatry
Ahmed, Shafqat Monwar; Cardiac Surgery
Ahmed, Uzma; Pediatrics
Airia, Parisa; Family Medicine
Al Habeeb, Ayman   Saeed; Anatomical Pathology
Alavian Ghavanini, Ahmad; Neurology
Ali, Aliya; Family Medicine
Ali, Hisham; Family Medicine
Allen, Tara Renee; Pediatrics, Respirology
Alolabi, Noor; Plastic Surgery
Al-Sukhni, Eisar; General Surgery, General Surgical Oncology
An, Howard Howe-Wei; Clinical Pharmacology and Toxicology, Internal Medicine
Anand, Navin; Gastroenterology, Internal Medicine
Ananthan, Dinesh Mahendra; Internal Medicine
Andrawes, Maged   Samir Mettry; Anesthesiology, Pain Medicine
Archer, Derek Christopher; Diagnostic Radiology
Arif, Saroosh; Internal Medicine
Asrar, Farhan Muhammad; Family Medicine
Assaad, Ihab   Guirguis Rizk; Anesthesiology
Assad, Christopher   James; Plastic Surgery
Atcha, Farida; Family Medicine
Athayde, Jitendra Ignatius; Anesthesiology
Attalla, Mireille   Ghattas; Former Name: Henen, Mireille Ghattas
Aul, Ritu   Bhavreet; Medical Genetics and Genomics
Awadde Alla Ghattas, Suzan; Family Medicine
Bacchus, Farzana Roshenne; Hematology, Internal Medicine
Bacher, Adrienne Sonia; Internal Medicine, Rheumatology
Bahl, Mala; Internal Medicine, Medical Oncology
Bai, Helen  Hee Kyung; Pediatrics
Baig, Mirza Naseeruddin; Anesthesiology
Bailey, Karen   Allison; General Surgery, Pediatric General Surgery
Baimel, Melanie Sarah; Family Medicine, Family Medicine (Emergency Medicine)
Banglawala, Sarfaraz Mubarak; Otolaryngology - Head and Neck Surgery
Banks, Mark Daniel Gordon; Anesthesiology
Banoub, Tahany   Darwish; Psychiatry
Barbalat, Eitan Sam; Diagnostic Radiology
Barboza, Milan Kumar; Internal Medicine
Bard, Vitaly; General Surgery
Barnes, Stephanie Victoria; Emergency Medicine
Bayliss, Michael Lewis; Cardiology, Internal Medicine
Bayliss, Patricia Ann; Pediatrics
Beard, David Glenn; Otolaryngology - Head and Neck Surgery
Beard, Jonathan Daryl; Child and Adolescent Psychiatry, Psychiatry
Behzadi, Abdollah; General Surgery, Thoracic Surgery
Belchetz, Gregory Jon; Otolaryngology - Head and Neck Surgery
Belchetz, Lance Adam; Family Medicine, Family Medicine (Emergency Medicine)
Berger-Richardson, David; General Surgery
Besik, Ferdinand
Beswick, Jennifer Melissa; Internal Medicine
Bhullar, Jessica Kaur; Pediatrics
Bielawska, Hanna; Family Medicine, Family Medicine (Emergency Medicine)
Blanchette, Nicholas   Stanley; Pediatrics, Rheumatology
Bluemke, Alice   Marie; Family Medicine
Bohay, Jordan Andrew William; Anesthesiology
Boll, Philip Richard; Internal Medicine, Nephrology
Bonin, Dominique Jacqueline Marie; Family Medicine, Family Medicine (Emergency Medicine)
Bookwala, Ammar; Family Medicine
Borys, Oksana Katherine; Neurology
Boule, Christopher   Joseph; Family Medicine, Family Medicine (Emergency Medicine)
Bowers, Nicolas   Gordon Riedel; Cardiology, Internal Medicine
Boyko, Robert Michael; Family Medicine, Family Medicine (Emergency Medicine)
Brade, Anthony   Matthew; Radiation Oncology
Brereton, Sheila   Mary
Brison, Meghan Lianne; Emergency Medicine
Brooks, David   Harold
Brown, Stephen   Christopher; Plastic Surgery
Bruni, Silvio Giancarlo; Diagnostic Radiology
Budning, Andrew   Stewart; Ophthalmology
Bugada, Nadia; Family Medicine
Burns, Andrew   Russell; General Surgery
Cacic, Ivan; Anesthesiology
Cameron, Brian   Howard; General Surgery, Pediatric General Surgery
Campbell, Anthony Blake; Internal Medicine
Cao, Belle   Yuan-Xin; Family Medicine
Cappel, Blair Daniel; Family Medicine
Cargnelli, Stephanie Marie; Family Medicine
Carrera Garcia, Pedro Luis; Neurology
Carriere, Rebecca; Psychiatry
Carter, Paul Stephen; Plastic Surgery
Caryl, William Goldstein; Internal Medicine
Cavaliere, Ida Jacqueline; Physical Medicine and Rehabilitation
Cesari, Matthew; Anatomical Pathology
Chahal, Mangeet Kaur; Cardiology, Internal Medicine
Chakrabarti, Sumontra; Infectious Diseases, Internal Medicine
Chakravertty, Rajesh; Orthopedic Surgery
Chan, Alice Hoi Yan; Family Medicine
Chan, Kevin   Joseph; Pediatrics
Chan, Melissa; Internal Medicine, Medical Oncology
Chan, Michael Wing-Keung; Diagnostic Radiology
Chan, Yvonne; Otolaryngology - Head and Neck Surgery
Chandi, Rajpal   Singh; Internal Medicine
Charal, John Michael
Chaudhry, Ayeshah; Medical Genetics and Genomics
Cheah, Henry   Kah-Loon; Orthopedic Surgery
