Abadir, Anna Maria A; Psychiatry
Abbey, Susan Elizabeth; Psychiatry
Abdel Gawad, Noha Mohamed Rady; Psychiatry
Abdel-Qadir, Husam-Eldin   Mohamed; Cardiology, Internal Medicine
Abdullah, Nadine; General Internal Medicine, Internal Medicine
Abdulrehman, Jameel; Hematology, Internal Medicine
Abrams, Howard  Barnet; Internal Medicine
Abrams, Karen   Michele; Psychiatry
Adams, Colin James; Internal Medicine, Respirology
Adamson, Peter Allan; Otolaryngology - Head and Neck Surgery
Adler, Arnon Shmuel; Cardiology
Aggarwal, Ram   Kumar; Internal Medicine
Agid, Ronit Farkash; Diagnostic Radiology
Ahluwalia, Renita; Dermatology
Ahmad, Ardalanejaz; Urology
Ahmad, Jamil; Plastic Surgery
Ahmed, Shajan; Family Medicine, Family Medicine (Emergency Medicine)
Akram, Mian   Muhammad Ali; Cardiology, Internal Medicine
Al Awamer, Ahmed Mohammed Al-Sasi Ahmed; Family Medicine
Al-Abri, Mahmood   Shaikhan Abdullah; Hematology, Internal Medicine
Al-Arnawoot, Amna Salah Abdulqadir; Diagnostic Radiology
Alba, Ana Carolina; Cardiology
Albert, Lori   Joanna; Internal Medicine, Rheumatology
Aleksova, Natasha; Cardiology, Internal Medicine
Alibhai, Shabbir Muhammad Husayn; Geriatric Medicine, Internal Medicine
Allard, Johane Pierette; Gastroenterology, Internal Medicine
Allen, Lisa   Mary; Obstetrics and Gynecology
Alonso Gonzalez, Rafael; Cardiology
Al-Rawi, Firas   Adil Tawfiq; Emergency Medicine
Alshafai, Laila Saud Abdulaziz; Diagnostic Radiology, Neuroradiology
Alsuwaidan, Mohammad T M S; Psychiatry
Amad, Hani; Cardiology, Internal Medicine
Andrews, Saadet; Pediatrics
Annamalai, Ganesan; Diagnostic Radiology
Ansari, Bilal Mustafa; Anesthesiology
Aoyama, Kazuyoshi; Anesthesiology
Arndt, Talitha   Anna Tamara; Family Medicine
Arthur, Rebecca Hendrikje; Obstetrics and Gynecology
Asa, Sylvia Lou; Anatomical Pathology
Aspler, Anne Lynn; Emergency Medicine
Atri, Mostafa; Diagnostic Radiology
Au, Michael; Otolaryngology - Head and Neck Surgery
Au, Wing-Fai   Frederick; Diagnostic Radiology
Austin, Ryan Edward; Plastic Surgery
Avitzur, Yaron; Gastroenterology, Pediatrics
Badiwala, Mitesh   Vallabh; Cardiac Surgery
Bahrey, Lisa   Ann Louise; Anesthesiology
Baig, Ehtesham; Anesthesiology, Pain Medicine
Baker, Brian; Psychiatry
Baker, Jason   Brian; Family Medicine, Family Medicine (Emergency Medicine)
Baker, Michael   Allen; Hematology, Internal Medicine
Balmain, Sean; Cardiology
Balter, Meyer Stanley; Internal Medicine, Respirology
Baltzer, Heather Lucretia; Plastic Surgery
Banerji, Anna; Infectious Diseases, Pediatrics
Bargman, Joanne Miriam; Internal Medicine
Barkin, Jack; Urology
Barmania, Yacoob   Ebrahim
Barnett Tapia, Carolina; Neurology
Barolet, Alan Wilfrid; Cardiology, Internal Medicine
Barrett, Kali Alyssa; Critical Care Medicine, Internal Medicine
Barron, David James; Cardiac Surgery
Barth, David; Hematological Pathology, Hematology, Internal Medicine
Bartlett, Eric Steven; Diagnostic Radiology
Barua, Moumita; Internal Medicine, Nephrology
Bassett, Anne   Susan; Psychiatry
Batt, Jane Andrea Elisabeth; Internal Medicine, Respirology
Bau, Alan   Lu-Lon; Diagnostic Radiology
Bayley, Andrew   John Simeon; Radiation Oncology
Bedard, Philippe   Lucien; Internal Medicine, Medical Oncology
Beecroft, John   Robert Douglas; Diagnostic Radiology
Bell, Charles Michael; Internal Medicine
Benson, Leland Nathan; Cardiology, Pediatrics
Beresford, Meaghen Joanne; Diagnostic Radiology
Berger, Arielle Sarah; Geriatric Medicine, Internal Medicine
Berkhout, Susan Gillian; Psychiatry
Berman, Hal David; Internal Medicine
Berman, Hal Kenneth; Laboratory Medicine
Bernardini, Marcus   Quirino; Obstetrics and Gynecology
Betschel, Stephen Daniel; Clinical Immunology and Allergy, Internal Medicine
Bhat, Mamatha Pallavi; Gastroenterology, Internal Medicine
Bhat, Venkat; Psychiatry
Bhatia, Anuj; Anesthesiology, Pain Medicine
Bhatia, Rajan Sacha; Cardiology, Internal Medicine
Billia, Filio; Cardiology, Internal Medicine
Bingham, Kathleen Sarah; Psychiatry
Binnie, William   Matthew Heath; Internal Medicine, Respirology
Bleakney, Robert Reginald; Diagnostic Radiology
Bobrowski, Jacob
Boerner, Scott   Lee; Anatomical Pathology
Boggild, Andrea Kristine; Infectious Diseases, Medical Microbiology
Boggild, Miranda Kirsten; Endocrinology and Metabolism, Internal Medicine
Bogoch, Isaac   Israel; Infectious Diseases, Internal Medicine
Bonta, Mark John; Internal Medicine
Bookman, Arthur   Allan Melvin; Internal Medicine, Rheumatology
Bouchard-Fortier, Genevieve Maude Louise; Gynecologic Oncology, Obstetrics and Gynecology
Bradley, Thomas Douglas; Internal Medicine, Respirology
Brar, Seeminder; Anesthesiology
Brasg, Ian Ari; Infectious Diseases, Internal Medicine
Braverman, Jennifer Robyn; Psychiatry
Bril, Vera; Neurology
Brode, Sarah Kathleen; Internal Medicine, Respirology
Brown, Dale Herbert; Otolaryngology - Head and Neck Surgery
Brown, Mitchell   Howard; Plastic Surgery
Brull, Richard   Todd; Anesthesiology
Bryan, Jennifer   Marie; Emergency Medicine
Buchan, Brian Joseph; Critical Care Medicine, Internal Medicine
Buckley, Leslie Lynn; Psychiatry
Budd, Laura Alison; Internal Medicine, Respirology
Bui, Esther; Neurology
Bunce, Paul   Evan; Infectious Diseases, Internal Medicine
Buncic, Joseph Raymond; Ophthalmology
Burkes, Ronald Louis; Internal Medicine
Butany, Jagdish Washo; Anatomical Pathology
Callum, Jeannie   Louise; Hematology, Internal Medicine
Cardella, Carl Joseph; Internal Medicine
Cardew, Savannah; Internal Medicine
Carette, Simon; Internal Medicine, Rheumatology
Carlen, Peter Louis; Neurology
Carr, David; Family Medicine, Family Medicine (Emergency Medicine)
Carr, Melanie Lee; Psychiatry
Cattral, Mark   Steven; General Surgery
Cattran, Daniel   Cheyne; Internal Medicine, Nephrology
Caudarella, Alexander; Family Medicine
Cavalcanti, Rodrigo   Brandao; Internal Medicine
Chadi, Ahmed Sami; General Surgery
Chakrabarti, Sumontra; Infectious Diseases, Internal Medicine
Champagne, Trevor; Dermatology
Chan, An-Wen; Dermatology
Chan, Charles Kai Nam; Internal Medicine, Respirology
Chan, Christopher   Ting Man; Internal Medicine, Nephrology
Chan, Crystal; Gynecologic Reproductive Endocrinology/Infertility, Obstetrics and Gynecology
Chan, Raymond   Ho Ming; Cardiology, Internal Medicine
Chan, Vincent   Wing Suen; Anesthesiology
