Abadir, Anna Maria A; Psychiatry
Abbey, Susan Elizabeth; Psychiatry
Abdelhalim, Tarek; Internal Medicine
Abdullah, Nadine; General Internal Medicine, Internal Medicine
Abi-Jaoude, Elia; Psychiatry
Abrams, Howard  Barnet; Internal Medicine
Abrams, Karen   Michele; Psychiatry
Adcock, Lesley Elizabeth; Family Medicine
Adegbite, Duate; Family Medicine
Agid, Ronit Farkash; Diagnostic Radiology
Ahmad, Ardalanejaz; Urology
Ahmad, Jamil; Plastic Surgery
Ahmad, Sameena Zareen; Internal Medicine, Rheumatology
Ahmad, Yusra   Naifa; Psychiatry
Ahmed, Shajan; Family Medicine, Family Medicine (Emergency Medicine)
Akcakir, Yasemin; Family Medicine
Akhtar, Sabrina   Nadine
Alali, Akeel   Ali H; Diagnostic Radiology
Al-Arnawoot, Amna Salah Abdulqadir; Diagnostic Radiology
Albert, Lori   Joanna; Internal Medicine, Rheumatology
Alibhai, Shabbir Muhammad Husayn; Geriatric Medicine, Internal Medicine
Alonso Gonzalez, Rafael; Cardiology
Al-Rawi, Firas   Adil Tawfiq; Emergency Medicine
Alshafai, Laila Saud Abdulaziz; Diagnostic Radiology, Neuroradiology
Alsuwaidan, Mohammad T M S; Psychiatry
Amad, Hani; Cardiology, Internal Medicine
Anastakis, Dimitrios John; Plastic Surgery
Andrade, Danielle   Molinari De; Neurology
Annamalai, Ganesan; Diagnostic Radiology
Aoyama, Kazuyoshi; Anesthesiology
Asbell, Irwin Joseph; Family Medicine
Aspler, Anne Lynn; Emergency Medicine
Atri, Mostafa; Diagnostic Radiology
Au, Wing-Fai   Frederick; Diagnostic Radiology
Austin, Ryan Edward; Plastic Surgery
Ayeni, Olufemi Rolland; Orthopedic Surgery
Bahrey, Lisa   Ann Louise; Anesthesiology
Baig, Ehtesham; Anesthesiology, Pain Medicine
Bain, James   Ralph; Plastic Surgery
Baker, Jason   Brian; Family Medicine, Family Medicine (Emergency Medicine)
Baker, Michael   Allen; Hematology, Internal Medicine
Baltzer, Heather Lucretia; Plastic Surgery
Barmania, Yacoob   Ebrahim
Barolet, Alan Wilfrid; Cardiology, Internal Medicine
Barrett, Kali Alyssa; Critical Care Medicine, Internal Medicine
Barth, David; Hematological Pathology, Hematology, Internal Medicine
Bartlett, Eric Steven; Diagnostic Radiology
Basi, Raviqubal Singh; Internal Medicine
Basma, Sarah Ghassan; Family Medicine
Bauer, Robert   David Charles; Cardiology, Internal Medicine
Bayley, Andrew   John Simeon; Radiation Oncology
Becker, Harold; Family Medicine
Bedard, Philippe   Lucien; Internal Medicine, Medical Oncology
Beecroft, John   Robert Douglas; Diagnostic Radiology
Bell, Charles Michael; Internal Medicine
Bercovici, Eduard; Neurology
Beresford, Meaghen Joanne; Diagnostic Radiology
Berger, Arielle Sarah; Geriatric Medicine, Internal Medicine
Berger, Sam; Hematology, Internal Medicine
Berkhout, Susan Gillian; Psychiatry
Berman, Hal David; Internal Medicine
Bernstein, Ira   Paul; Family Medicine
Bhatia, Anuj; Anesthesiology, Pain Medicine
Bingham, Kathleen Sarah; Psychiatry
Binhammer, Paul   Andrew; Plastic Surgery
Bleakney, Robert Reginald; Diagnostic Radiology
Bloom, Jeff   Alan; Family Medicine
Bobrowski, Jacob
Bodani, Vivek Pankaj; Neurosurgery
Boerner, Scott   Lee; Anatomical Pathology
Boggild, Miranda Kirsten; Endocrinology and Metabolism, Internal Medicine
Bogoch, Isaac   Israel; Infectious Diseases, Internal Medicine
Bonta, Mark John; Internal Medicine
Bookman, Arthur   Allan Melvin; Internal Medicine, Rheumatology
Born, Trevor   Mason; Plastic Surgery
Bourgeois, Sophie Allemang; Family Medicine
Braden, Harold   Phillips; Anesthesiology, Family Medicine
Braverman, Jennifer Robyn; Psychiatry
Bray, Peter   William; Plastic Surgery
Brent, Michael   Henry; Ophthalmology
Breslin, Calvin   William; Ophthalmology
Bricks, Corey Sean; Family Medicine
Bril, Vera; Neurology
Brode, Sarah Kathleen; Internal Medicine, Respirology
Brown, Dale Herbert; Otolaryngology - Head and Neck Surgery
Brown, Vivien   Perelman; Family Medicine
Brull, Richard   Todd; Anesthesiology
Bryan, Jennifer   Marie; Emergency Medicine
Buckley, Leslie Lynn; Psychiatry
Bui, Esther; Neurology
Bunce, Paul   Evan; Infectious Diseases, Internal Medicine
Buncic, Joseph Raymond; Ophthalmology
Burkes, Ronald Louis; Internal Medicine
Burns, Sarah Elizabeth Grace; Family Medicine
Butty, Ziad; Ophthalmology
Calafati, Jennifer; Ophthalmology
Callum, Jeannie   Louise; Hematology, Internal Medicine
Cardew, Savannah; Internal Medicine
Carette, Simon; Internal Medicine, Rheumatology
Carlen, Peter Louis; Neurology
Carr, David; Family Medicine, Family Medicine (Emergency Medicine)
Casaubon, Leanne   Kelly; Neurology
Casey, David James; General Internal Medicine, Internal Medicine
Cavalcanti, Rodrigo   Brandao; Internal Medicine
Chadi, Ahmed Sami; General Surgery
Chahal, Jaskarndip   Singh; Orthopedic Surgery
Chakrabarti, Sumontra; Infectious Diseases, Internal Medicine
Chan, Andrea Hiu Wah; Orthopedic Surgery
Chan, Charles Kai Nam; Internal Medicine, Respirology
Chan, Clara   Carwei; Ophthalmology
Chan, Vincent   Wing Suen; Anesthesiology
Chandran, Vinod; Rheumatology
Chang, Boon   Howe; Family Medicine, Family Medicine (Emergency Medicine)
Chaparro Gomez, Luis   Enrique
Chapman, Kenneth Ross; Internal Medicine, Respirology
Chau, Vicky; Geriatric Medicine, Internal Medicine
Chawla, Punita Tanya; Diagnostic Radiology
Chen, Howard Chun-Hao; Family Medicine, FCFP - Family Medicine
Chen, Jerry Yeou-Wei; Neurology
Chen, Robert   E Wei; Neurology
Chepeha, Douglas Brian; Otolaryngology - Head and Neck Surgery
Cherney, David   Zev Isaac; Internal Medicine, Nephrology
Chessex, Caroline; Internal Medicine
Cheung, Angela   Man-Wei; Internal Medicine
Cheung, Carol Chui-San; Anatomical Pathology
Cheung, Eileen Yee Lam; Family Medicine, Family Medicine (Emergency Medicine)
Chin, Elaine   I-Ling
Chin, Ki Jinn; Anesthesiology
Cho, Dennis Dane; Emergency Medicine
Chopra, Anil; Emergency Medicine
Chowdhury, Tumul; Anesthesiology
Christakis, Panos George; Ophthalmology
Chu, Joseph Yiu-Cho; Internal Medicine, Neurology
Chun, Soohun; Cardiology, Internal Medicine
Chung, Frances Fong-Ting; Anesthesiology
Cino, Maria; Gastroenterology, Internal Medicine
Clarfield, Michael   David
Clavel, Natalie Anne; Anesthesiology
Cleiman, Paula   Feigenbaum; Family Medicine, Family Medicine (Emergency Medicine)
Coburn, Bryan Alexander; Infectious Diseases, Internal Medicine
Colman, Jack   Marc; Cardiology, Internal Medicine
Colman, Rebecca   Eve; Internal Medicine, Respirology
Crampton, Noah Henry; Family Medicine
Croitoru, Kenneth; Gastroenterology, Internal Medicine
Crump, Richard Michael; Hematology, Internal Medicine
Cserti-Gazdewich, Christine Margaret; Hematology, Internal Medicine
Culligan, Christopher John; Family Medicine
Cusimano, Michael David; Neurosurgery
Czarnecka-Kujawa, Katarzyna; Internal Medicine, Respirology
Czikk, Marie Julianna; Obstetrics and Gynecology
Dahlke, Erin Jade; Dermatology
Daibert Nido, Monica; Ophthalmology
Dalseg, Timothy Ross; Emergency Medicine
Daly, Paul   Anthony; Cardiology
Daniel, Lorretta Bernice; Cardiology, Internal Medicine
Dash, Satya; Endocrinology and Metabolism, Internal Medicine
Davey, John   Roderick; Orthopedic Surgery
De Almeida, John   Rukshan; Otolaryngology - Head and Neck Surgery
Dehghani, Payman; Family Medicine, Family Medicine (Emergency Medicine)
Delgado, Diego Hernan; Cardiology
Delwo, Justin Riley; Psychiatry
Dengler, Jana; Plastic Surgery
Der, Tara-Diana; Anesthesiology
Deria, Mariam; Family Medicine
Desai, Sagar; Orthopedic Surgery
Detsky, Allan Steve; Internal Medicine
Devenyi, Robert   George; Ophthalmology
Devine, Luke Adam; Internal Medicine
Dhamko, Helena; Hematology, Internal Medicine
Dhar, Preeti; Critical Care Medicine, General Surgery
Dharamsi, Alia; Emergency Medicine
Di Renna, Tania; Anesthesiology
Diaz De Molnar, Ana   Maria
Ding, Shiyang; Family Medicine
Dinsmore, Michael John; Anesthesiology
Dodig, Dubravka   M; Neurology
Doiron, Philip Rodney; Dermatology
Downar, Jonathan; Psychiatry
Draper, Haley   Elana; Family Medicine
Drew, Brian Michael; Orthopedic Surgery
Drucker, Aaron Mark; Dermatology
Duero Posada, Juan Guillermo; Cardiology, Internal Medicine
Dunbar-Yaffe, Richard James; General Internal Medicine, Internal Medicine
Duncan, Dallas Allan Keith; Anesthesiology
D'Urzo, Anthony   Dominic; Family Medicine
Dvali, Linda Tina Louise; Plastic Surgery
Dzaja, Ivan; Orthopedic Surgery
Dzavik, Vladimir; Cardiology, Internal Medicine
Easterbrook, William Michael; Ophthalmology
Eder, Lihi; Rheumatology
Eisenberg, Eric   Lawrence; Dermatology
El-Defrawy, Sherif   Rashad; Ophthalmology
Elimova, Elena; Internal Medicine, Medical Oncology
Elliott, Mary Elizabeth; Psychiatry
Elliott, Wade   Charles; Family Medicine
Ellis, Paul Douglas; Neurology
Elterman, Dean Sol; Urology
Emmanuel, Majella   Priyanthi; Family Medicine
Escallon, Jaime Mainwaring; General Surgery
Esho, David   Mayowa Taiwo; Family Medicine
Evans, Andrew   John; Anatomical Pathology
Ezzat, Shereen   Zarif; Endocrinology and Metabolism, Internal Medicine
Fairbairn, James; Family Medicine
Fan, Eddy   Pey Ti; Critical Care Medicine, Internal Medicine
Farb, Richard Ian; Diagnostic Radiology
Farkouh, Michael Edward; Internal Medicine
Farooki, Nadia; Emergency Medicine
Farrugia, Patricia Ruth; Orthopedic Surgery
Fasano, Alfonso; Neurology
Fedorko, Ludwik Mikolaj; Anesthesiology
Fehlings, Michael George; Neurosurgery
Feld, Jordan Jay; Gastroenterology, Internal Medicine
Feldman, Samantha Leah; Family Medicine
Ferguson, Niall   Douglas; Critical Care Medicine, Internal Medicine, Respirology
Ferreira, Ivone Martins; Internal Medicine
Finelli, Antonio; Urology
Fischer, Sandra Elisabeth; Anatomical Pathology
Fisher, Jolene   Heather; Internal Medicine, Respirology
Fisman, David Norman; Internal Medicine
Flamer, David Richard; Anesthesiology
Flannery, John Francis; Physical Medicine and Rehabilitation
Fleming, Ivor Mackenzie; Anesthesiology, Family Medicine
Fleming, Patrick   James; Dermatology
Fleming, Sarah   Catherine; Family Medicine
Fleshner, Neil   Eric; Urology
Flint, Alastair John; Psychiatry
Floras, John   Stanley; Cardiology
Forbes, Thomas Lawrence; General Surgery, Vascular Surgery
Fox, David Don; Internal Medicine, Respirology
Fox, Susan   Helen; Neurology
Friedman, Steven   Marc; Family Medicine, Family Medicine (Emergency Medicine)
Frost, David William Henry; Internal Medicine
Fung, Kenneth Po-Lun; Psychiatry
Gaisano, Herbert Young; Gastroenterology, Internal Medicine
Gandhi, Rajiv; Orthopedic Surgery
Gandhi, Shital; General Internal Medicine, Internal Medicine
Gardam, Michael   Andrew; Infectious Diseases, Internal Medicine
Gebara, Nadine   Souad; Family Medicine
Gedye, Mary Ellen; Family Medicine
Gelber, Nitai; Family Medicine
Gentili, Fred; Neurosurgery
Gerbitz, Armin Heinz; Hematology, Internal Medicine
Ghai, Sangeet; Diagnostic Radiology
Ghiasi, Nazli; Dermatology
Ghura, Parminder   Singh; Family Medicine
Giacobbe, Peter; Psychiatry
Giannoulias, Dimitrois; Obstetrics and Gynecology
Gilbert, Ralph   William; Otolaryngology - Head and Neck Surgery
Ginsburg, Shiphra Rachel; Internal Medicine, Respirology
Gladman, Dafna Debora; Internal Medicine, Rheumatology
Glazer, Peter Raphael; Family Medicine, Family Medicine (Emergency Medicine)
Gledhill, Norman   Scott; Family Medicine
Goel, Ritika; Family Medicine
Goffi, Alberto; Critical Care Medicine, Internal Medicine
Gold, Jewel; Cardiology, Internal Medicine
Gold, Wayne Lawrence; Infectious Diseases, Internal Medicine
Goldberg, Robert Joshua; Endocrinology and Metabolism, Internal Medicine
Goldlist, Barry   Joseph; Geriatric Medicine, Internal Medicine
Goldmacher, Jesse Ephraim; Anesthesiology
Goldstein, David   Paul; Otolaryngology - Head and Neck Surgery
Goldstein, Eric; Dermatology
Goldstein, Mark   Larry; Family Medicine
Goligher, Ewan   Christopher; Critical Care Medicine, Internal Medicine
Goodman, Daniel Alexander; Emergency Medicine
Gorfinkel, John Arthur; Ophthalmology
Gotlieb, Avrum   Irving; Anatomical Pathology
Govindarajan, Anand; General Surgery
Govindarajulu, Arun Prasad; Anesthesiology
Graham, Brent   Authur; Orthopedic Surgery
Grant, Mary   Margaret; Diagnostic Radiology
Grenville, Jeffrey; Diagnostic Radiology
Gupta, Anup Kumar; Cardiology, Internal Medicine
Gupta, Shruti; Family Medicine
Ha, Andrew Chun Tung; Cardiology, Internal Medicine
Haider, Masoom Abbas; Diagnostic Radiology
Halankar, Jaydeep Arun; Diagnostic Radiology
Hales, Sarah   Anne; Psychiatry
Hall, Alison Jacintha; Family Medicine
Hall, Jeremy   Alan; Orthopedic Surgery
Hamer, Howard   Thomas
Hamilton, Robert James; Urology
Han, Jay   Shou; Anesthesiology, Anesthesiology
Hanbidge, Anthony   Edward; Diagnostic Radiology
Hanet, Stephen   Harold; Family Medicine
Hang, Marissa Xi; Internal Medicine
Hanneman, Katherin Alison; Diagnostic Radiology
Hansen, Shandi Michelle; Emergency Medicine
Haroon, Nigil; Rheumatology
Harris, Simon   Andrew; Orthopedic Surgery
Harrison, Kenneth   John
Harvey, Noemie-Rose; General Surgery
Harvey, Patricia Tyson; Ophthalmology
Hassouna, Magdy Mohamed Nasr El-Dine; Urology
Hawa, Raed Jad; Psychiatry
Hawryluck, Laura   Andrea; Internal Medicine
Haykal, Siba; Plastic Surgery
Hayman, Kaitlin; Emergency Medicine
Hennessey, Hooman; Diagnostic Radiology, Interventional Radiology
Herman, Stephen   Jay; Diagnostic Radiology
Herridge, Mary Margaret Sutherland; Internal Medicine, Respirology
Heslop, Claire L; Emergency Medicine
Hodaie, Mojgan; Neurosurgery
Hodges, Brian David; Psychiatry
Hofer, Stefan   Oliver Paul; Plastic Surgery
Hogen, Liat Frida; Obstetrics and Gynecology
Horlick, Eric Mitchell; Cardiology, Internal Medicine
Hosseini Moghaddam, Seyed   Mohammadmehdi; Infectious Diseases
Hota, Susy Smita; Infectious Diseases, Internal Medicine
Hoydonckx, Yasmine Marie E; Anesthesiology
Huang, Alexander Francis; Anesthesiology
Huang, Vivian   Wai-Mei; Gastroenterology, Internal Medicine
Hulme, Jennifer Meghan; Family Medicine, Family Medicine (Emergency Medicine)
Humar, Atul; Infectious Diseases, Internal Medicine
