Abdulhussein, Aajab Shiraz; Family Medicine
Akbari, Ayub; Internal Medicine, Nephrology
Al-Attar, Hyder Majed; Diagnostic Radiology
Alikhan, Qasim   Raza; Internal Medicine, Respirology
Alsaffar, Heytham   Kamil
Antoniak, Elisabeth Nicole; Family Medicine
Apte, Sameer; General Surgery, General Surgical Oncology
Archibald, Samuel   Bruce Wallace; Family Medicine
Argue, Megan Elizabeth; Family Medicine
Ashton, Sarah Elizabeth; Family Medicine
Bacskai, Gabor; Family Medicine
Baryla, Julia Grazyna; Ophthalmology
Ben-Ezra, Michael Arieh; Family Medicine
Bensimon, Michael   Aaron
Bhagirath, Vikas Chander; Family Medicine
Bhargava, Anuj; Ophthalmology
Blakslee, James   Michael; General Surgery
Borsuk, Ronnie Ronald Mitchel; Plastic Surgery
Brassard, Stephane Joseph Leger; Family Medicine
Brown, Meaghan Lise; Family Medicine
Brulotte, Marc; Family Medicine
Burke, John   Michael
Carrier, Benjamin-Benoit; General Surgery
Casey, Genevieve Marie; Geriatric Medicine, Internal Medicine
Chakraborty, Santanu; Diagnostic Radiology
Chande, Suryakant; General Surgery
Crabtree, Marilyn   Janet
Darbyshire, Katherine Rhoda; Family Medicine
Davey, Michelle Anne Labelle; General Surgery
Davis, Janet Lynne; Internal Medicine, Nephrology
de Moissac, Pierre Georges; Family Medicine
Deeb, Shamsa   Milad; Obstetrics and Gynecology
della Zazzera, Vincent; Obstetrics and Gynecology
Delpero, Walter; Ophthalmology
Dennie, Carole   J.; Diagnostic Radiology
Devin, Brian; Family Medicine
Dixit, Anuj Sharan; Diagnostic Radiology
Domanko, Wayne   Barrie
Dos Santos, Marlise   Peruzzo; Diagnostic Radiology
Doyle, Crystal   Rosanne; Family Medicine, Family Medicine (Emergency Medicine)
Drodge, Karen Helene; Family Medicine
Duigenan, Shauna; Diagnostic Radiology
Duncan, Mary Jean; Plastic Surgery
Dutta, Prasannajit
Elzayat, Ehab Abdalla; Urology
Evans, John   Francis
Farah, Kevin; Diagnostic Radiology
Fasih, Najla; Diagnostic Radiology
Foote, Michelle Anne; Family Medicine
Foster, Ryan Christian Barnett; Diagnostic Radiology
Fraser, Margaret Ann; Diagnostic Radiology
Gagnon, Antoine; Family Medicine
Gelber, Nitai; Family Medicine
Ghattas, Rimon; Internal Medicine
Gil, Lucas; Family Medicine
Gilchrist, Andrew   David; Anesthesiology
Gill, Rajanjot   Kaur; Internal Medicine, Rheumatology
Gizzi, Lara Sonia Maria; Family Medicine
Gruber, David; Family Medicine, Family Medicine (Emergency Medicine)
Gupta, Ashish; Diagnostic Radiology
Gutcher, Spencer Thomas; Family Medicine
Hadziomerovic, Adnan; Diagnostic Radiology
Halliday, Sarah Marie Francoise; Geriatric Psychiatry, Psychiatry
Hamilton, Maren; Family Medicine
Henry, Eric   Leo; Otolaryngology - Head and Neck Surgery
Hibbert, Rebecca  Marie Andree; Diagnostic Radiology
Hodgdon, Taryn; Diagnostic Radiology
Huang, Shirley Chien-Chieh; Geriatric Medicine, Internal Medicine
Huggan, Jessica; Internal Medicine
Hunter Poelman, Pascale; Family Medicine
Ingram-Crooks, Jennifer Lee; Family Medicine
Irobi, Clara Chinyere; Endocrinology and Metabolism, Internal Medicine
Isserlin, Benjamin Alkan; Critical Care Medicine, General Surgery
Jacques, Andrew Gregory; Emergency Medicine
Jakubow, Andre   Nicholas; Family Medicine
Javidnia, Hedyeh; Otolaryngology - Head and Neck Surgery
Jibri, Zaid Adil; Diagnostic Radiology
Jolin-Dahel, Kheira; Family Medicine
Jones, David Alexander Rhys; Family Medicine
Jones-Delcorde, Adam David Harold; Family Medicine, Family Medicine (Emergency Medicine)
Jonker, Derek James; Internal Medicine, Medical Oncology
Kaethler, Yvonne   Erica; Family Medicine
Kelly, Alexander David Roy; Family Medicine
Kelly, Sheila   Mary; Diagnostic Radiology
