Abbas, Mohammad   Mansour; Anatomical Pathology
Abdallah, Omar Elfarouk Mohammed; Otolaryngology - Head and Neck Surgery
Abouhassan, Tyceer; Endocrinology and Metabolism, Internal Medicine
Adams, Carolyn Patricia; Family Medicine, Family Medicine (Emergency Medicine)
Adams, Howard   Franklyn; Plastic Surgery
Adunuri, Nikesh Reddy; Internal Medicine
Ahmed, Abdelaziz   Alam Elhuda; Internal Medicine
Ahmed, Fawad Saleem; Family Medicine
Akhtar, Muhammad Saleem; Psychiatry
Akindipe, Oyebukola   Oyeronke; Psychiatry
Akinlaja, Adeola   Busola; Psychiatry
Akinlosotu, Adewale   Anthony; Psychiatry
Al Ghazaly, Samer Ahmed Farghaly; Anesthesiology
Ala, Brigitte   Darleen; Diagnostic Radiology
Alallam, Alallam   Aboubaker; Gastroenterology, Internal Medicine
Al-Farra, Bassel; Urology
Alharbi, Faiz Mosa F; Emergency Medicine
Allevato, Pat   Anthony; Anatomical Pathology, General Pathology
Almehmadi, Fahad Saleh M; Cardiology, Internal Medicine
Alomari, Mohammad Ghaleb; Anatomical Pathology
Alsaden, Mohamed-Rida Ahmed; Anesthesiology
Al-Sadkhan, Haydar Karim Majeed; Anesthesiology
Anderson, Christopher; Family Medicine
Annisette, Garth Kevin Martin; Orthopedic Surgery
Aoun, Lawrence; Family Medicine, Palliative Medicine
Asfour, Nabil   Ahmad; Internal Medicine
Askew, Michele  Leigh; Family Medicine
Athar, Humera; Psychiatry
Atton, Arthur   Lance
Atwood, Lenisa   Jeanne; Family Medicine
Awuku, Mark Addi; Pediatrics
Bagga, Amit; Internal Medicine, Nephrology
Bagherli, Alireza; Cardiology, Family Medicine, Family Medicine (Emergency Medicine), Internal Medicine
Banwell, Brian   Robert; Anesthesiology
Basker, Rajasekar; Psychiatry
Bastianon, William Anthony
Bastien, Jean-Marc Patrick; Family Medicine
Battiston, Matthew; Family Medicine
Beaudet, Anne-Marie   Louise; Diagnostic Radiology
Ben Ibrahim, Mohamed Ali; General Surgery
Ben Musa, Sirajeddin Awad Abdulmatloub; Gastroenterology, Internal Medicine
Bergeron, Sheri Lyn; Family Medicine, Palliative Medicine
Bisland, Stuart Kenward; Orthopedic Surgery
Biswas, Kevin Shawn Sunil; Family Medicine
Biswas, Robert Neal Krishna; Geriatric Medicine, Internal Medicine
Bleyendaal, Argia; Family Medicine
Bocicariu, Alina Marinela; Anatomical Pathology
Bordoff, Benjamin; Forensic Psychiatry, Psychiatry
Boyer, David   Kenneth; Family Medicine, Family Medicine (Emergency Medicine)
Bradford, Paul; Family Medicine, Family Medicine (Emergency Medicine)
Briskin, Alexander; Anesthesiology
Brisson, Louis James; Diagnostic Radiology
Brkovich, Andrea   Mary; Obstetrics and Gynecology
Brown, Ian George; Internal Medicine
Buac, Suzana; General Surgery
Burdett, Rachel   L; Psychiatry
Burke, Bradley David; Physical Medicine and Rehabilitation
Burke, Brian Robert; Psychiatry
Callaghan, Wayne Dean; Nephrology
Cargill, Darren Colin; Family Medicine, Palliative Medicine
Caturay, Alexa Patricia; Family Medicine, Public Health and Preventive Medicine
Cervini, Patrick; Diagnostic Radiology
Chadda, Manish; Diagnostic Radiology
Chahine-Malus, Natalie Vikki; Internal Medicine, Respirology
Chaker, Sana; Internal Medicine
Chandrasena, Ranjith   Dayananda; Psychiatry
Chang, Edward   Yong-Min; Nuclear Medicine
Chao, Stephen; Internal Medicine, Respirology
Chaudhry, Sukarno Nawaz; Critical Care Medicine, Internal Medicine, Respirology
Chehade, Samer; Internal Medicine
Chetty, Rajendra   Muthu; Cardiology, Internal Medicine
Cheung, Man   Ching Raphael; Endocrinology and Metabolism, Internal Medicine
Chevalier, Marguerite  Blanche; Family Medicine
Child, Dumaresq Marner
Chiu, Ann Mei-Chi; Ophthalmology
Chopra, Ashna; Anesthesiology
Chow, Isabel   Jeanette Sophia; Plastic Surgery
Chow, Roxana   Sophia
Chripko, Daniel; Anesthesiology
Coates, David   Charles
Coates, John Robert George; Family Medicine
Cohen, Jeffrey Jay
Colev, Gheorghe; Ophthalmology
Cormier, Andrew Joseph Christopher; Family Medicine
Cortese, Leonardo; Psychiatry
Coughlin, Michael   Patrick; General Surgery, Thoracic Surgery
Cox, Jennifer   Anne; Family Medicine
Curran, Brian Michael; Ophthalmology
Da Silva, Sidney   Joaquim; Anesthesiology
Dang, Tommy   Tue Minh; Neurosurgery
Davies, Anthony Ayebakro; Family Medicine
Deans, Robin Michael; Ophthalmology
Deklaj, Tom; Urology
Demarco, Francis   Stephen
Dennison, Jeffrey   Andrew; Family Medicine
Desai, Hiren   Bhupendra; Neurology
Desjardins, Bruce Hume Henry; Anesthesiology
Dhar, Anil; Internal Medicine, Respirology
Dighe, Krupa   Hasmukh; Geriatric Medicine, Internal Medicine
Dighe, Kushal   Jagdish; Cardiology, Internal Medicine
Diklich, Roy Ratko
Doff, Michael Douglas
Doshi, Biraju; Family Medicine
Doyle, Sharon   Ellen; Family Medicine
Dudok, David Vladimir; Ophthalmology
Durcanska, Denisa; Family Medicine
Dwyer, Joseph   Gerrard; Otolaryngology - Head and Neck Surgery
Dyer, Erin Elizabeth; Neurosurgery
El Keilani, Akram   M I; Anatomical Pathology
Elalem, Abdusalam   Abdurazag Elmahdi; General Surgery, Thoracic Surgery
Elashaal, Abdelrahman Abdallah Baraka; Orthopedic Surgery
Elashaal, Abdurrahim   Abdalla; Neurosurgery
Elbreki, Mustafa   M; Otolaryngology - Head and Neck Surgery
El-Fakharany, Mohamed   Moustafa; Anatomical Pathology
El-Gohary, Yasser Metwally Tawfick; Anatomical Pathology
Elsdon, Tom  Campbell; Urology
El-Zubeidi, Wassim; Gastroenterology, Internal Medicine
Emara, Barry   Yehia; Ophthalmology
Ewing, Kevin Lindsay; Anesthesiology
